方向,排名,題材,熱度Δ,市場,代碼,XQ代碼,公司,當週排行
上升,1,被動元件,6.76,台,2327,2327.TW,,3
上升,1,被動元件,6.76,台,3042,3042.TW,,9
上升,1,被動元件,6.76,台,3026,3026.TW,,14
上升,1,被動元件,6.76,台,2484,2484.TW,,24
上升,1,被動元件,6.76,台,6173,6173.TW,,27
上升,1,被動元件,6.76,台,2375,2375.TW,,39
上升,1,被動元件,6.76,台,2472,2472.TW,,51
上升,1,被動元件,6.76,台,2493,2493.TW,,88
上升,1,被動元件,6.76,台,2486,2486.TW,,99
上升,1,被動元件,6.76,台,2492,2492.TW,,183
上升,1,被動元件,6.76,台,6449,6449.TW,,204
上升,1,被動元件,6.76,台,6284,6284.TW,,230
上升,1,被動元件,6.76,美,VSH,VSH.US,Vishay,288
上升,1,被動元件,6.76,日,6976,6976.JP,太陽誘電,2
上升,1,被動元件,6.76,日,6981,6981.JP,村田製作所,5
上升,1,被動元件,6.76,日,6762,6762.JP,TDK,33
上升,1,被動元件,6.76,日,6997,6997.JP,日本Chemi-con,170
上升,1,被動元件,6.76,日,6996,6996.JP,Nichicon,210
上升,1,被動元件,6.76,韓,009150,009150.KS,三星電機,3
上升,1,被動元件,6.76,韓,043260,043260.KS,成湖電子,54
上升,1,被動元件,6.76,韓,001820,001820.KS,三和電容,61
上升,1,被動元件,6.76,韓,009155,009155.KS,三星電機優先股,90
上升,1,被動元件,6.76,韓,011230,011230.KS,三和電子,108
上升,1,被動元件,6.76,陸,sz300408,300408.SZ,三環集團,33
上升,1,被動元件,6.76,陸,sz000636,000636.SZ,風華高科,85
上升,1,被動元件,6.76,陸,sz300319,300319.SZ,麥捷科技,142
上升,1,被動元件,6.76,陸,sz002484,002484.SZ,江海股份,149
上升,1,被動元件,6.76,陸,sh603678,603678.SH,火炬電子,158
上升,2,半導體設備,2.86,台,6139,6139.TW,,46
上升,2,半導體設備,2.86,台,2404,2404.TW,,111
上升,2,半導體設備,2.86,台,6187,6187.TW,,121
上升,2,半導體設備,2.86,台,3583,3583.TW,,130
上升,2,半導體設備,2.86,台,2467,2467.TW,,165
上升,2,半導體設備,2.86,台,3131,3131.TW,,175
上升,2,半導體設備,2.86,台,3680,3680.TW,,185
上升,2,半導體設備,2.86,台,5536,5536.TW,,199
上升,2,半導體設備,2.86,台,6196,6196.TW,,203
上升,2,半導體設備,2.86,台,8064,8064.TW,,262
上升,2,半導體設備,2.86,台,3413,3413.TW,,298
上升,2,半導體設備,2.86,美,AMAT,AMAT.US,應用材料,15
上升,2,半導體設備,2.86,美,LRCX,LRCX.US,科林研發(Lam Research),18
上升,2,半導體設備,2.86,美,ASML,ASML.US,艾司摩爾(ASML),25
上升,2,半導體設備,2.86,美,MKSI,MKSI.US,MKS儀器,161
上升,2,半導體設備,2.86,美,ONTO,ONTO.US,Onto Innovation,215
上升,2,半導體設備,2.86,日,8035,8035.JP,東京電子,3
上升,2,半導體設備,2.86,日,6525,6525.JP,Kokusai Electric,9
上升,2,半導體設備,2.86,日,6920,6920.JP,雷射科技(Lasertec),10
上升,2,半導體設備,2.86,日,7735,7735.JP,SCREEN,19
上升,2,半導體設備,2.86,日,6590,6590.JP,芝浦機械,62
上升,2,半導體設備,2.86,韓,036930,036930.KS,周星科技,6
上升,2,半導體設備,2.86,韓,403870,403870.KS,HPSP,9
上升,2,半導體設備,2.86,韓,240810,240810.KS,原益IPS,12
上升,2,半導體設備,2.86,韓,319660,319660.KS,PSK,53
上升,2,半導體設備,2.86,韓,095610,095610.KS,Tes,67
上升,2,半導體設備,2.86,陸,sh688012,688012.SH,中微公司,16
