熱度排名,題材,熱度分,市場,代碼,XQ代碼,公司,排名
1,金融,6136,台,2887,2887.TW,,71
1,金融,6136,台,2881,2881.TW,,74
1,金融,6136,台,2882,2882.TW,,78
1,金融,6136,台,2891,2891.TW,,90
1,金融,6136,台,2883,2883.TW,,144
1,金融,6136,台,2884,2884.TW,,148
1,金融,6136,台,2885,2885.TW,,181
1,金融,6136,台,2890,2890.TW,,198
1,金融,6136,台,2886,2886.TW,,201
1,金融,6136,台,2892,2892.TW,,226
1,金融,6136,台,5871,5871.TW,,258
1,金融,6136,台,2880,2880.TW,,277
1,金融,6136,台,2834,2834.TW,,282
1,金融,6136,美,HOOD,HOOD.US,Robinhood,26
1,金融,6136,美,JPM,JPM.US,摩根大通,40
1,金融,6136,美,BAC,BAC.US,美國銀行,73
1,金融,6136,美,SPGI,SPGI.US,,76
1,金融,6136,美,COIN,COIN.US,Coinbase,78
1,金融,6136,日,8306,8306.JP,三菱UFJ,17
1,金融,6136,日,8316,8316.JP,三井住友FG,24
1,金融,6136,日,8411,8411.JP,瑞穗FG,28
1,金融,6136,日,8766,8766.JP,東京海上,37
1,金融,6136,日,8725,8725.JP,MS&AD保險,60
1,金融,6136,韓,055550,055550.KS,新韓金融,11
1,金融,6136,韓,105560,105560.KS,KB金融,16
1,金融,6136,韓,032830,032830.KS,三星生命,30
1,金融,6136,韓,086790,086790.KS,Hana金融,46
1,金融,6136,韓,006800,006800.KS,未來資產證券,51
1,金融,6136,陸,sz300059,300059.SZ,東方財富,38
1,金融,6136,陸,sh600030,600030.SH,中信證券,71
1,金融,6136,陸,sz300033,300033.SZ,同花順,93
1,金融,6136,陸,sh600909,600909.SH,華安證券,115
1,金融,6136,陸,sh601318,601318.SH,中國平安,143
2,CPO/光通訊,5274,台,2330,2330.TW,,1
2,CPO/光通訊,5274,台,3081,3081.TW,,53
2,CPO/光通訊,5274,台,4979,4979.TW,,55
2,CPO/光通訊,5274,台,3363,3363.TW,,104
2,CPO/光通訊,5274,台,3450,3450.TW,,223
2,CPO/光通訊,5274,台,3163,3163.TW,,238
2,CPO/光通訊,5274,美,AVGO,AVGO.US,博通,12
2,CPO/光通訊,5274,美,MRVL,MRVL.US,邁威爾科技,13
2,CPO/光通訊,5274,美,TSM,TSM.US,台積電ADR,16
2,CPO/光通訊,5274,美,GLW,GLW.US,康寧(Corning),29
2,CPO/光通訊,5274,美,LITE,LITE.US,朗美通(Lumentum),31
2,CPO/光通訊,5274,日,5803,5803.JP,藤倉(Fujikura),7
2,CPO/光通訊,5274,日,5802,5802.JP,住友電工,22
2,CPO/光通訊,5274,日,6965,6965.JP,濱松光子(Hamamatsu Photonics),143
2,CPO/光通訊,5274,日,6613,6613.JP,QD Laser,154
2,CPO/光通訊,5274,日,6779,6779.JP,日本電波工業,247
2,CPO/光通訊,5274,韓,010170,010170.KS,大韓光通訊,55
2,CPO/光通訊,5274,陸,sz300308,300308.SZ,中際旭創,2
2,CPO/光通訊,5274,陸,sz300502,300502.SZ,新易盛,4
2,CPO/光通訊,5274,陸,sh600487,600487.SH,亨通光電,10
2,CPO/光通訊,5274,陸,sh600522,600522.SH,中天科技,23
2,CPO/光通訊,5274,陸,sz300394,300394.SZ,天孚通信,30
3,封測(OSAT/測試),4593,台,3711,3711.TW,,6
3,封測(OSAT/測試),4593,台,2449,2449.TW,,25
3,封測(OSAT/測試),4593,台,6271,6271.TW,,33
3,封測(OSAT/測試),4593,台,6147,6147.TW,,45
3,封測(OSAT/測試),4593,台,6239,6239.TW,,47
3,封測(OSAT/測試),4593,台,6515,6515.TW,,49
3,封測(OSAT/測試),4593,台,7769,7769.TW,,59
