主族群,細分產品,國家,排名,代碼,公司,產業地位
記憶體,NOR Flash/利基記憶體,陸,1,sh603986,兆易创新,全球NOR Flash前段大廠(兆易創新)
CPO/光通訊,光收發模組,陸,2,sz300308,中际旭创,全球最大AI光模組廠之一(中際旭創)
封測(OSAT/測試),半導體封測(OSAT),陸,3,sh600584,长电科技,中國最大封測廠(長電科技)
PCB/CCL,PCB/精密結構件,陸,4,sz002384,东山精密,PCB與精密結構件廠(東山精密)
面板,面板,陸,5,sz000725,京东方Ａ,中國面板龍頭(京東方Ａ)
CPO/光通訊,光收發模組,陸,6,sz300502,新易盛,全球前三大AI光模組廠(新易盛)
AI伺服器,伺服器系統,陸,7,sz000977,浪潮信息,伺服器系統大廠(浪潮信息)
記憶體,記憶體介面晶片,陸,8,sh688008,澜起科技,全球記憶體介面晶片龍頭(瀾起科技)
CPO/光通訊,光纖光纜,陸,9,sh600487,亨通光电,光纖光纜大廠(亨通光電)
IC設計,AI晶片(GPU/ASIC),陸,10,sh688256,寒武纪,中國AI晶片設計龍頭(寒武紀)
電池/儲能,動力電池,陸,11,sz300750,宁德时代,全球最大動力電池廠(寧德時代)
IC設計,伺服器CPU/AI晶片,陸,12,sh688041,海光信息,海光資訊，伺服器CPU/AI晶片廠
晶圓代工,邏輯晶圓代工,陸,13,sh688981,中芯国际,中國最大晶圓代工廠(中芯國際)
CPO/光通訊,通訊系統設備,陸,14,sz000063,中兴通讯,中興通訊，通訊設備大廠
IC設計,IC設計(紫光集團),陸,15,sz000938,紫光股份,紫光股份，IT/網通設備廠
封測(OSAT/測試),半導體封測/PCB,陸,16,sz000021,深科技,深科技，封測+PCB廠
CPO/光通訊,光通訊元件,陸,17,sz300394,天孚通信,光通訊元件廠(天孚通信)
半導體設備,離子注入/蝕刻設備,陸,18,sh688012,中微公司,半導體設備廠(中微公司)
AI伺服器,伺服器系統,陸,19,sh603019,中科曙光,中科曙光，伺服器/超算系統廠
半導體設備,薄膜沉積/蝕刻設備,陸,20,sz002371,北方华创,中國半導體設備龍頭(北方華創)
半導體設備,雷射加工設備,陸,21,sz002008,大族激光,雷射加工設備廠(大族激光)
CPO/光通訊,光纖光纜,陸,22,sh600522,中天科技,光纖光纜大廠(中天科技)
封測(OSAT/測試),半導體封測(OSAT),陸,23,sz002156,通富微电,封測大廠(通富微電)
封測(OSAT/測試),半導體測試設備,陸,24,sz300604,长川科技,半導體測試設備廠(長川科技)
PCB/CCL,玻璃纖維,陸,25,sh600176,中国巨石,玻璃纖維材料龍頭(中國巨石)
CPO/光通訊,光通訊元件,陸,26,sz002281,光迅科技,光通訊元件廠(光迅科技)
PCB/CCL,PCB(伺服器用),陸,27,sz300476,胜宏科技,AI伺服器用PCB廠(勝宏科技)
AI伺服器,伺服器代工,陸,28,sh601138,工业富联,工業富聯(鴻海子公司)，伺服器/AI伺服器代工龍頭
記憶體,記憶體模組/存儲晶片,陸,29,sh688525,佰维存储,存儲晶片模組廠(佰維存儲)
CPO/光通訊,天線/射頻元件,陸,30,sz300136,信维通信,射頻天線元件廠(信維通信)
封測(OSAT/測試),半導體封測(OSAT),陸,31,sz002185,华天科技,封測廠(華天科技)
記憶體,記憶體模組,陸,32,sz001309,德明利,記憶體模組廠(德明利)
PCB/CCL,PCB雷射設備,陸,33,sz000988,华工科技,雷射加工設備廠(華工科技)
IC通路,半導體通路(記憶體為主),陸,34,sz300475,香农芯创,半導體通路商(香農芯創)
記憶體,記憶體模組,陸,35,sz301308,江波龙,記憶體模組廠(江波龍)
晶圓代工,晶圓代工(特殊製程),陸,36,sh688347,华虹宏力,華虹宏力，特殊製程晶圓代工廠
組裝代工(EMS),半導體封測設備代工,陸,37,sh600667,太极实业,電子代工廠(太極實業)
綠能/太陽能,太陽能逆變器,陸,38,sz300274,阳光电源,太陽能逆變器龍頭(陽光電源)
PCB/CCL,PCB,陸,39,sz002463,沪电股份,PCB大廠(滬電股份)
傳統產業/原材料,稀有金屬材料,陸,40,sh600206,有研新材,稀有金屬材料廠(有研新材)
半導體材料,電子化學品,陸,41,sz002409,雅克科技,半導體化學材料廠(雅克科技)
PCB/CCL,CCL覆銅板,陸,42,sh600183,生益科技,覆銅板材料大廠(生益科技)
被動元件,電子陶瓷材料,陸,43,sz300408,三环集团,電子陶瓷材料廠(三環集團)
IC設計,IC設計服務,陸,44,sh688521,芯原股份,ASIC/IP設計服務廠(芯原股份)
組裝代工(EMS),精密連接器/電子代工,陸,45,sz002475,立讯精密,立訊精密，連接器/電子代工大廠
CPO/光通訊,光通訊系統設備,陸,46,sh600498,XD烽火通,光通訊系統設備廠(烽火通信)
半導體材料,陶瓷材料(MLCC用),陸,47,sz300285,国瓷材料,電子陶瓷材料廠(國瓷材料)
半導體材料,電子化學品(CMP材料),陸,48,sz300054,鼎龙股份,CMP材料廠(鼎龍股份)
功率半導體,功率半導體(IDM),陸,49,sh600460,士兰微,功率半導體IDM大廠(士蘭微)
IC設計,MCU/車用IC設計,陸,50,sz300223,北京君正,MCU/車用IC設計廠(北京君正)
傳統產業,化工材料(氟化工),陸,51,sz002407,多氟多,多氟多，氟化工/電池材料廠
生技醫藥,新藥研發CRO/CDMO,陸,52,sh603259,药明康德,藥明康德，全球CRO/CDMO大廠
機器人/自動化,工業自動化,陸,53,sz002851,麦格米特,工業自動化設備廠(麥格米特)
AI/軟體服務,AI大模型/遊戲,陸,54,sz300418,昆仑万维,崑崙萬維，AI大模型廠
CPO/光通訊,雷射光源元件,陸,55,sh688498,源杰科技,光通訊雷射元件廠(源傑科技)
矽晶圓/材料,矽晶圓,陸,56,sh688126,沪硅产业,中國矽晶圓大廠(滬硅產業)
半導體材料,靶材,陸,57,sz300666,江丰电子,半導體濺鍍靶材廠(江豐電子)
CPO/光通訊,光纖,陸,58,sh601869,长飞光纤,光纖預製棒大廠(長飛光纖)
化合物半導體,鍇/鍇材料(化合物半導體基材),陸,59,sz002428,云南锗业,鍇材料廠(雲南鍇業)
PCB/CCL,玻璃纖維材料,陸,60,sz301526,国际复材,玻纖材料廠(國際復材)
CPO/光通訊,雷射光源元件,陸,61,sh688048,长光华芯,光通訊雷射元件廠(長光華芯)
封測(OSAT/測試),先進封裝,陸,62,sh688820,盛合晶微,先進封裝廠(盛合晶微)
半導體設備,CMP拋光設備,陸,63,sh688120,华海清科,半導體拋光設備廠(華海清科)
IC設計,FPGA/特種IC,陸,64,sz002049,紫光国微,紫光國微，FPGA/安全晶片設計廠
