code,name,amount_cny,rank
sh603986,兆易创新,39768631633.0,1
sz300308,中际旭创,34704124551.0,2
sz000725,京东方Ａ,29710846050.0,3
sz300502,新易盛,22149431794.0,4
sz301308,江波龙,20233380923.0,5
sh600584,长电科技,19748583547.0,6
sh688525,佰维存储,19635048356.0,7
sz001309,德明利,19558879510.0,8
sz002384,东山精密,17453027826.0,9
sh600487,亨通光电,17132304683.0,10
sh688008,澜起科技,16891296871.0,11
sh600176,中国巨石,15783344134.0,12
sh688256,寒武纪,14045400474.0,13
sz300223,北京君正,13477401164.0,14
sh600522,中天科技,13135535830.0,15
sh688981,中芯国际,12737144923.0,16
sz002407,多氟多,12574211330.0,17
sh688041,海光信息,12418151716.0,18
sh688012,中微公司,12365069129.0,19
sz002371,北方华创,12192666512.0,20
sh603259,药明康德,11519021401.0,21
sz300394,天孚通信,11108718097.0,22
sz300408,三环集团,11095814166.0,23
sh600667,太极实业,10843745879.0,24
sh601899,紫金矿业,10578058579.0,25
sz300475,香农芯创,10439798088.0,26
sz002050,三花智控,10328847837.0,27
sz300476,胜宏科技,10315516637.0,28
sh688017,绿的谐波,10296151738.0,29
sh600276,恒瑞医药,10153086404.0,30
sz301526,国际复材,10132277998.0,31
sz000938,紫光股份,9933778020.0,32
sz002463,沪电股份,9762462258.0,33
sh600183,生益科技,9515916683.0,34
sz000657,中钨高新,9138123574.0,35
sz002747,埃斯顿,9048470128.0,36
sz000021,深科技,8981156959.0,37
sz000100,TCL科技,8752343878.0,38
sz300059,东方财富,8325462536.0,39
sz002475,立讯精密,8216421561.0,40
sz300750,宁德时代,8167456241.0,41
sh600105,永鼎股份,8065477372.0,42
sz300285,国瓷材料,8043521939.0,43
sz300604,长川科技,7952964502.0,44
sh688347,华虹宏力,7938697322.0,45
sz000977,浪潮信息,7864835460.0,46
sh601138,工业富联,7815327977.0,47
sz002409,雅克科技,7779495376.0,48
sz002600,领益智造,7732744217.0,49
sh603019,中科曙光,7624945973.0,50
sh688766,普冉股份,7518414762.0,51
sz002156,通富微电,7373332963.0,52
sz000988,华工科技,7319944325.0,53
sz002281,光迅科技,7253830604.0,54
sz002008,大族激光,7244230412.0,55
sz001248,C华润,7131925097.0,56
sh600378,昊华科技,7010241273.0,57
sz002185,华天科技,6986264122.0,58
sh688498,源杰科技,6950243525.0,59
sz002636,金安国纪,6876329037.0,60
sz300136,信维通信,6814842164.0,61
sz300274,阳光电源,6781153495.0,62
sz002916,深南电路,6703375972.0,63
sh688629,华丰科技,6678793074.0,64
sh600641,先导基电,6566445918.0,65
sh600549,厦门钨业,6545860265.0,66
sh600030,中信证券,6534266216.0,67
sz301217,铜冠铜箔,6368148095.0,68
sh688521,芯原股份,6350878207.0,69
sh688048,长光华芯,6148375825.0,70
sh601869,长飞光纤,6136207973.0,71
sz002428,云南锗业,6085478214.0,72
sz001399,惠科股份,6010094635.0,73
sz300503,昊志机电,5854253538.0,74
sz002436,兴森科技,5773356327.0,75
sh600206,有研新材,5763796558.0,76
sz300346,南大光电,5760419344.0,77
sz301511,德福科技,5747470774.0,78
sz002709,天赐材料,5744534491.0,79
sh600150,中国船舶,5735515648.0,80
sz300433,蓝思科技,5695024791.0,81
sz300666,江丰电子,5683938360.0,82
sh603993,洛阳钼业,5639752406.0,83
sh688820,盛合晶微,5598315497.0,84
sz000063,中兴通讯,5448745098.0,85
sh600601,方正科技,5427967656.0,86
sh600460,士兰微,5350935158.0,87
sh688126,沪硅产业,5330865473.0,88
sh600172,黄河旋风,5247582045.0,89
sz002472,双环传动,5241121731.0,90
sh688249,晶合集成,5144321809.0,91
sh600580,卧龙电驱,5138015060.0,92
sh600703,三安光电,5076102857.0,93
sh601689,拓普集团,5068075538.0,94
sh601211,国泰海通,5044335284.0,95
sh600498,烽火通信,5014349645.0,96
sz000636,风华高科,5014307083.0,97
sz300033,同花顺,4999217146.0,98
sh600519,贵州茅台,4913750668.0,99
sz002837,英维克,4875197950.0,100
sz300124,汇川技术,4839802931.0,101
sh600988,赤峰黄金,4833331682.0,102
sh605358,立昂微,4811395556.0,103
sh600160,巨化股份,4804459773.0,104
sh600118,中国卫星,4755439724.0,105
sh688322,奥比中光,4740740126.0,106
sh688362,甬矽电子,4709822844.0,107
sh601318,中国平安,4688935744.0,108
sz301165,锐捷网络,4678950163.0,109
sh688120,华海清科,4647615219.0,110
sz002851,麦格米特,4624273873.0,111
sh688797,臻宝科技,4594643850.0,112
sh601991,大唐发电,4591964300.0,113
sh688702,盛科通信,4525966132.0,114
sh603618,杭电股份,4449246013.0,115
sz300390,天华新能,4438415670.0,116
sz300857,协创数据,4432323767.0,117
sz002979,雷赛智能,4423190761.0,118
sz000338,潍柴动力,4409706146.0,119
sh600879,航天电子,4370461172.0,120
sh600869,远东股份,4364006778.0,121
sz300418,昆仑万维,4336837178.0,122
sh688146,中船特气,4335413780.0,123
sz002354,天娱数科,4307496781.0,124
sz002594,比亚迪,4263991762.0,125
sh603083,剑桥科技,4232361963.0,126
sz002484,江海股份,4210182122.0,127
sz002049,紫光国微,4206677400.0,128
sh603256,宏和科技,4138182847.0,129
sz001270,铖昌科技,4128393015.0,130
sz002202,金风科技,4101988808.0,131
sz002353,杰瑞股份,4072701121.0,132
sz002273,水晶光电,4067618520.0,133
sz002536,飞龙股份,4056607398.0,134
sz000333,美的集团,4006480145.0,135
sz300821,东岳硅材,3978044786.0,136
sh688361,中科飞测,3976039757.0,137
sz300570,太辰光,3923950113.0,138
sz301269,华大九天,3900095314.0,139
sz002126,银轮股份,3892969067.0,140
sz002821,凯莱英,3878304132.0,141
sz002714,牧原股份,3871001914.0,142
sz300607,拓斯达,3861226198.0,143
sz300054,鼎龙股份,3835882479.0,144
sh688313,仕佳光子,3827603831.0,145
sh688123,聚辰股份,3824727847.0,146
sz002850,科达利,3822388831.0,147
sz002080,中材科技,3791204245.0,148
sh600392,盛和资源,3734621841.0,149
sz000066,中国长城,3729009536.0,150
sz002056,横店东磁,3709371036.0,151
sh600110,诺德股份,3678582020.0,152
sz002460,赣锋锂业,3664390990.0,153
sh600036,招商银行,3625395505.0,154
sh688372,伟测科技,3586860397.0,155
sz002938,鹏鼎控股,3568274175.0,156
sh603078,江化微,3566284749.0,157
sz300179,四方达,3550032787.0,158
sh688110,东芯股份,3525317650.0,159
sh601208,东材科技,3512889778.0,160
sh601872,招商轮船,3506626435.0,161
sh600111,北方稀土,3483263056.0,162
sh603501,豪威集团,3459022730.0,163
sz300671,富满微,3445745010.0,164
sh688082,盛美上海,3438892456.0,165
sz002138,顺络电子,3435601358.0,166
sz000960,锡业股份,3415647207.0,167
sh688019,安集科技,3411564724.0,168
sh603629,利通电子,3361404368.0,169
sh600309,万华化学,3358449959.0,170
sz300684,中石科技,3357374946.0,171
sz300442,润泽科技,3356889358.0,172
sz002422,科伦药业,3356724786.0,173
sz300058,蓝色光标,3335606407.0,174
sh688037,芯源微,3308884299.0,175
sh600909,华安证券,3308485766.0,176
sh688396,华润微,3308298987.0,177
sz002294,信立泰,3305309255.0,178
sz002738,中矿资源,3291754294.0,179
sz300757,罗博特科,3279703237.0,180
sz002491,通鼎互联,3241954107.0,181
sz300558,贝达药业,3225005079.0,182
sh688549,中巨芯,3180099055.0,183
sh688403,汇成股份,3179626269.0,184
sz000547,航天发展,3178976111.0,185
sz300489,光智科技,3175958396.0,186
sh600707,彩虹股份,3154674637.0,187
sz300373,扬杰科技,3122312150.0,188
sz000426,兴业银锡,3120997178.0,189
sh600489,中金黄金,3119960880.0,190
sz300319,麦捷科技,3115077355.0,191
sz000060,中金岭南,3095411391.0,192
sz002415,海康威视,3075405803.0,193
sz002466,天齐锂业,3072193308.0,194
sh603650,彤程新材,3071225805.0,195
sh603667,五洲新春,3070743609.0,196
sz300395,菲利华,3068749202.0,197
sh605589,圣泉集团,3066646677.0,198
sh688141,杰华特,3059249418.0,199
sh603799,华友钴业,3027479147.0,200
sz002245,蔚蓝锂芯,3022765052.0,201
sz000811,冰轮环境,3022338615.0,202
sz300037,新宙邦,3011534239.0,203
sz300014,亿纬锂能,3002333815.0,204
sz301018,申菱环境,2999045727.0,205
sh688200,华峰测控,2979411475.0,206
sh688257,新锐股份,2975348524.0,207
sz000792,盐湖股份,2952752997.0,208
sh603538,美诺华,2935460071.0,209
sz301377,鼎泰高科,2933173273.0,210
sz002167,东方锆业,2923941868.0,211
sh600547,山东黄金,2917146855.0,212
sh688235,百济神州,2916622979.0,213
sz002192,融捷股份,2896483178.0,214
sh688548,广钢气体,2896064455.0,215
sz000975,山金国际,2894103718.0,216
sh603773,沃格光电,2893114975.0,217
sh605376,博迁新材,2875230402.0,218
sz300620,光库科技,2845706524.0,219
sh688627,精智达,2835477391.0,220
sz002119,康强电子,2833924768.0,221
sh600497,驰宏锌锗,2812044396.0,222
sz300661,圣邦股份,2784151748.0,223
sh688652,京仪装备,2781558297.0,224
sh688519,南亚新材,2779565053.0,225
sh600673,东阳光,2772454797.0,226
sh603005,晶方科技,2771479122.0,227
sh603228,景旺电子,2757679904.0,228
sz300115,长盈精密,2730032471.0,229
sz300975,商络电子,2727735649.0,230
sh603186,华正新材,2722306327.0,231
sz300548,长芯博创,2720753843.0,232
sz300759,康龙化成,2712610760.0,233
sz002931,锋龙股份,2699156189.0,234
sh600875,东方电气,2698485642.0,235
sh600362,江西铜业,2695518963.0,236
sz000831,中国稀土,2681613922.0,237
sh601600,中国铝业,2678591411.0,238
sz300398,飞凯材料,2671654656.0,239
sz002364,中恒电气,2661689093.0,240
sh601398,工商银行,2661206278.0,241
sh600999,招商证券,2646733487.0,242
sz300083,创世纪,2643635816.0,243
sz300762,上海瀚讯,2642447638.0,244
sh688507,索辰科技,2612866294.0,245
sh688331,荣昌生物,2605448032.0,246
sh600552,凯盛科技,2596444259.0,247
sz301396,宏景科技,2582904711.0,248
sh688432,有研硅,2582187474.0,249
sh688808,联讯仪器,2570802999.0,250
sh601336,新华保险,2565212224.0,251
sz000858,五 粮 液,2548673275.0,252
sh688630,芯碁微装,2539040609.0,253
sh688578,艾力斯,2533742419.0,254
sz002129,TCL中环,2533435327.0,255
sz300567,精测电子,2532882386.0,256
sz002025,航天电器,2522432148.0,257
sz000630,铜陵有色,2507137686.0,258
sz002028,思源电气,2502994099.0,259
sh600900,长江电力,2502075780.0,260
sh688469,芯联集成,2498206039.0,261
sz002261,拓维信息,2488541323.0,262
sh603588,高能环境,2485250401.0,263
sz002896,中大力德,2476839962.0,264
sh603893,瑞芯微,2474794885.0,265
sz002602,世纪华通,2471465539.0,266
sh688233,神工股份,2467066617.0,267
sz002179,中航光电,2462468529.0,268
sz000034,神州数码,2453994863.0,269
sz300776,帝尔激光,2453280807.0,270
sz002326,永太科技,2447548034.0,271
sz300499,高澜股份,2446936076.0,272
sh688106,金宏气体,2442128279.0,273
sh600353,旭光电子,2432500126.0,274
sh688300,联瑞新材,2421254269.0,275
sz002716,湖南白银,2417864600.0,276
sz000776,广发证券,2400578212.0,277
sz000651,格力电器,2395884045.0,278
sz000962,东方钽业,2382389162.0,279
sh688503,聚和材料,2377324435.0,280
sz300751,迈为股份,2372964824.0,281
sz000783,长江证券,2360226718.0,282
sh600482,中国动力,2359079963.0,283
sz000070,特发信息,2343674481.0,284
sz300088,长信科技,2329754494.0,285
sz300139,晓程科技,2329167627.0,286
sz300602,飞荣达,2318484682.0,287
sh688409,富创精密,2309994620.0,288
sh603678,火炬电子,2306539998.0,289
sz002653,海思科,2305641881.0,290
sz001896,豫能控股,2299518530.0,291
sz300199,翰宇药业,2287994383.0,292
sh688400,凌云光,2281583030.0,293
sz300679,电连技术,2276159418.0,294
sz000807,云铝股份,2275805900.0,295
sh603268,松发股份,2267666872.0,296
sz002155,湖南黄金,2260539677.0,297
sz301379,天山电子,2248147564.0,298
sz301319,唯特偶,2244622349.0,299
sh688183,生益电子,2241361978.0,300
sh688596,正帆科技,2237550478.0,301
sz002240,盛新锂能,2228691104.0,302
sh600330,天通股份,2220315229.0,303
sz002532,天山铝业,2202182333.0,304
sh600141,兴发集团,2197750302.0,305
