主族群,細分產品,國家,排名,代碼,公司,產業地位
記憶體,NAND Flash,日,1,285,キオクシア,全球NAND Flash前三大
被動元件,MLCC電容+電感,日,2,6976,太陽誘電,全球MLCC前三、電感主力廠
半導體設備,晶圓製造設備(綜合),日,3,8035,東エレク,全球第三大半導體設備廠
電信,電信/投資控股,日,4,9984,ＳＢＧ,SoftBank Group(軟銀集團)
被動元件,MLCC電容,日,5,6981,村田製,全球MLCC市佔第一
封測(OSAT/測試),半導體測試設備(ATE),日,6,6857,アドテスト,半導體測試設備世界龍頭
CPO/光通訊,光纖/光纜,日,7,5803,フジクラ,AI資料中心光纖需求受益
PCB/CCL,IC載板(ABF),日,8,4062,イビデン,AI伺服器晶片載板關鍵供應商
AI伺服器,晶片載板,日,8,4062,イビデン,高階IC載板供應商
半導體設備,熱處理設備,日,9,6525,コクサイエレ,半導體熱處理設備廠
半導體設備,EUV光罩檢測設備,日,10,6920,レーザーテク,EUV光罩缺陷檢測獨佔廠商
封測(OSAT/測試),晶圓切割/研磨設備,日,11,6146,ディスコ,晶圓切割/精密加工設備供應商
矽晶圓/材料,矽晶圓,日,12,3436,ＳＵＭＣＯ,矽晶圓世界第二大
傳統消費,服飾零售,日,15,9983,ファストリ,Fast Retailing(UNIQLO)
金融,銀行,日,17,8306,三菱ＵＦＪ,三菱UFJ金融集團
品牌3C,消費電子/遊戲,日,18,6758,ソニーＧ,Sony集團
半導體設備,清洗設備,日,19,7735,スクリン,半導體清洗設備廠
遊戲/娛樂,遊戲主機/軟體,日,20,7974,任天堂,任天堂
品牌3C,家電/電子,日,21,6752,パナＨＤ,Panasonic控股
CPO/光通訊,光纖電纜,日,22,5802,住友電,光纖/電線電纜大廠
汽車,汽車整車,日,23,7203,トヨタ,Toyota全球最大車廠
金融,銀行,日,24,8316,三井住友ＦＧ,三井住友金融集團
IC設計,車用MCU/類比IC,日,25,6723,ルネサス,車用半導體大廠
傳統產業,重工業(造船/航太/能源),日,26,7011,三菱重,三菱重工
功率半導體,功率半導體/類比IC(SiC),日,27,6963,ローム,SiC功率元件領導廠商之一
金融,銀行,日,28,8411,みずほＦＧ,瑞穗金融集團
半導體材料,光阻/研磨材料,日,29,4004,レゾナック,半導體材料廠(原昭和電工)
網路服務,人力資源/網路服務,日,30,6098,リクルート,Recruit
矽晶圓/材料,矽晶圓+半導體材料,日,31,4063,信越化,矽晶圓/半導體材料世界龍頭
被動元件,磁性材料/電感,日,33,6762,ＴＤＫ,磁性材料/電感龍頭，也做電池材料
電信,電信運營商,日,34,9432,ＮＴＴ,NTT
傳統產業,重工業,日,35,7013,ＩＨＩ,IHI
金融,保險,日,37,8766,東京海上,東京海上保險
生技醫藥,製藥,日,38,4568,第一三共,第一三共
機器人/自動化,感測器/自動化設備,日,39,6861,キーエンス,FA感測器/自動化設備大廠
機器人/自動化,工業機器人/伺服馬達,日,40,6506,安川電,工業機器人龍頭
機器人/自動化,精密減速機,日,41,6324,ハーモニック,機器人核心減速機廠
IC設計,ASIC設計服務,日,42,6526,ソシオネクス,ASIC設計服務廠
商社,綜合商社,日,43,8058,三菱商,三菱商事
機器人/自動化,氣動元件,日,45,6273,ＳＭＣ,工廠自動化氣動元件大廠
機器人/自動化,工業機器人/CNC控制器,日,46,6954,ファナック,工業機器人龍頭
傳統消費,菸草,日,47,2914,ＪＴ,JT日本菸草
商社,綜合商社,日,48,8002,丸紅,丸紅
商社,綜合商社,日,49,8031,三井物,三井物產
IT/系統整合,通訊/IT系統,日,50,6701,ＮＥＣ,NEC
電池/儲能,電池正極材料(銅/鎳),日,51,5713,住友鉱,電池材料供應商
汽車,汽車整車,日,52,7267,ホンダ,Honda
半導體材料,光學/半導體光罩基板,日,53,7741,ＨＯＹＡ,HOYA
功率半導體,綜合電機(含功率半導體事業),日,55,6503,三菱電,綜合電機集團，內含IGBT功率半導體事業部
傳統消費,食品,日,57,2802,味の素,味之素食品集團
PCB/CCL,IC載板絕緣材料(ABF),日,57,2802,味の素,ABF載板材料獨家供應商
傳統消費,零售,日,58,7453,良品計画,MUJI無印良品
半導體材料,陶瓷封裝/電子元件,日,59,6971,京セラ,Kyocera陶瓷+半導體封裝
金融,保險,日,60,8725,ＭＳ＆ＡＤ,ＭＳ＆ＡＤ保險
IT/系統整合,IT系統/電子,日,61,6702,富士通,Fujitsu
半導體設備,半導體/面板製程設備,日,62,6590,芝浦,半導體製程設備廠
生技醫藥,製藥,日,63,4502,武田,武田藥品
電信,電信運營商,日,64,9433,ＫＤＤＩ,KDDI
傳統產業,建機,日,65,6301,コマツ,Komatsu建機龍頭
生技醫藥,製藥,日,66,4519,中外薬,中外製藥
汽車,汽車整車,日,67,7269,スズキ,Suzuki
半導體設備,CMP設備/泵,日,69,6361,荏原,半導體研磨設備/泵廠
金融,銀行,日,70,8308,りそなＨＤ,りそな控股
商社,綜合商社,日,72,8001,伊藤忠,伊藤忠商事
半導體材料,光阻材料,日,74,4901,富士フイルム,半導體光阻材料+影像
PCB/CCL,玻璃纖維(PCB材料),日,75,3110,日東紡,PCB玻纖材料廠
金融,保險,日,76,8630,ＳＯＭＰＯ,ＳＯＭＰＯ保險
封測(OSAT/測試),測試/精密量測設備,日,77,7729,東京精,半導體測試設備/精密測量設備廠
電信,電信運營商,日,78,9434,ＳＢ,SoftBank Corp
金融,保險,日,79,8750,第一ライフ,第一生命
機器人/自動化,馬達(含EV馬達),日,80,6594,ニデック,Nidec馬達大廠
傳統消費,零售,日,81,8267,イオン,Aeon
商社,綜合商社,日,83,8053,住友商,住友商事
金融,綜合租賃金融,日,84,8591,オリックス,Orix綜合金融租賃
IT/系統整合,IT顧問/系統整合,日,85,4307,野村総研,野村總研
IT/系統整合,IT顧問,日,86,6532,ベイカレント,Baycurrent顧問
PCB/CCL,PCB,日,87,6787,メイコー,PCB大廠
不動產,不動產開發,日,89,8801,三井不,不動產開發商
機器人/自動化,馬達,日,90,6479,ミネベア,Minebea馬達/精密零件大廠
公用事業,電力,日,91,9502,中部電,電力公司
生技醫藥,醫療器材,日,92,4543,テルモ,Terumo醫材
公用事業,電力,日,93,9501,東電ＨＤ,電力公司
傳統產業,工業陶瓷/絕緣材料,日,94,5333,ＮＧＫ,工業陶瓷大廠
商社,綜合商社,日,95,8015,豊田通商,豐田通商
品牌3C,影像/事務機,日,96,7751,キヤノン,Canon
不動產,不動產開發,日,97,8830,住友不,不動產開發商
不動產,不動產開發,日,98,8802,菱地所,不動產開發商
遊戲/娛樂,主題樂園,日,99,4661,ＯＬＣ,東京迪士尼經營公司
汽車,輪胎,日,100,5108,ブリヂストン,Bridgestone全球輪胎龍頭
汽車,車用電子零件,日,101,6902,デンソー,Denso車用零件/半導體大廠
傳統產業,營建,日,103,1801,大成建,營建公司
金融,證券/網路金融,日,106,8473,ＳＢＩ,ＳＢＩ控股
傳統消費,零售,日,107,3382,セブン＆アイ,Seven&I控股
金融,證券,日,108,8604,野村,野村證券
能源,石油天然氣,日,109,1605,ＩＮＰＥＸ,石油天然氣開發公司
傳統產業,營建,日,110,1812,鹿島,營建公司
生技醫藥,製藥,日,111,4503,アステラス,Astellas
傳統消費,百貨零售,日,112,3099,三越伊勢丹,三越伊勢丹百貨
功率半導體,功率半導體(IGBT),日,113,6504,富士電機,功率半導體(IGBT)主力廠商之一
航運,航運,日,114,9107,川崎汽,航運公司
半導體材料,矽材料/真空密封元件,日,115,6890,フェローテク,半導體矽材料廠
傳統產業,鐵路,日,116,9022,ＪＲ東海,鐵路公司
傳統產業,鐵路,日,117,9021,ＪＲ西日本,鐵路公司
航運,航運,日,118,9104,商船三井,航運公司
網路服務,二手交易電商,日,119,4385,メルカリ,Mercari
機器人/自動化,氣動元件,日,120,6407,ＣＫＤ,工廠自動化氣動元件廠
網路服務,電商/網路服務,日,121,4755,楽天グループ,樂天集團
航運,航運,日,125,9101,郵船,航運公司
封測(OSAT/測試),封裝設備(壓模機),日,127,6315,ＴＯＷＡ,半導體封裝壓模設備廠
半導體設備,晶圓搬送設備,日,128,6323,ローツェ,半導體晶圓搬送設備廠
半導體設備,壓合設備,日,130,6327,北川精機,半導體/面板壓合設備廠
半導體材料,陶瓷封裝基板,日,131,5344,ＭＡＲＵＷＡ,半導體陶瓷封裝基板/被動元件材料廠
機器人/自動化,物流自動化設備,日,132,6383,ダイフク,物流自動化設備廠
遊戲/娛樂,遊戲軟體,日,133,9766,コナミＧ,Konami
機器人/自動化,自動化控制/感測器,日,134,6645,オムロン,工廠自動化控制大廠
汽車,汽車整車,日,135,7202,いすゞ,Isuzu商用車
傳統產業,營建/住宅,日,137,1928,積水ハウス,住宅建設公司
電池/儲能,電池/海底電纜,日,138,485,ＰｏｗｅｒＸ,PowerX電池/海纜新創
機器人/自動化,精密減速機,日,141,6268,ナブテスコ,機器人核心零件+航太
傳統消費,化妝品,日,142,4911,資生堂,資生堂
CPO/光通訊,光半導體元件,日,143,6965,ホトニクス,光感測/光半導體元件廠
汽車,汽車整車,日,144,7201,日産自,Nissan
網路服務,網路廣告,日,145,4751,サイバー,CyberAgent
半導體材料,光阻材料,日,147,4186,東応化,半導體光阻材料龍頭
傳統產業,保全服務,日,148,9735,セコム,Secom保全
金融,保險,日,150,8795,Ｔ＆Ｄ,保險
傳統消費,飲料,日,151,2502,アサヒ,朝日飲料
傳統產業,營建/住宅,日,152,1925,大和ハウス,住宅建設公司
CPO/光通訊,雷射技術(量子點雷射),日,154,6613,ＱＤレーザ,QD Laser量子點雷射
生技醫藥,製藥,日,155,4507,塩野義,Shionogi
公用事業,電力,日,157,9503,関西電,電力公司
半導體材料,陶瓷封裝材料,日,158,5334,特殊陶,陶瓷封裝材料廠(原NGK Spark Plug)
傳統產業,鐵路,日,159,9020,ＪＲ東日本,鐵路公司
半導體設備,X射線分析設備,日,160,268,リガクＨＤ,Rigaku分析設備
汽車,汽車整車,日,161,7270,ＳＵＢＡＲＵ,SUBARU
半導體設備,分析/測量設備,日,163,6856,堀場製,半導體製程分析設備廠
傳統消費,家具零售,日,164,9843,ニトリＨＤ,Nitori
半導體材料,光罩基板材料,日,165,6855,電子材料,半導體光罩基板材料廠
遊戲/娛樂,遊戲軟體,日,166,9697,カプコン,Capcom
傳統消費,食品,日,167,2801,キッコマン,龜甲萬醬油
