日期,市場,代碼,公司,成交金額排名,主族群
2026-07-10,日,6506,安川電機,31,機器人/自動化
2026-07-10,日,7453,良品計畫(無印良品),80,傳統消費
2026-07-10,日,8267,永旺(Aeon),72,傳統消費
2026-07-15,日,6594,日本電產(Nidec),63,機器人/自動化
2026-07-20,韓,000720,現代建設,89,傳統產業
2026-07-22,韓,207940,三星生物製劑,94,生技醫藥
2026-07-23,日,6146,迪思科(DISCO),12,封測(OSAT/測試)
2026-07-23,韓,005380,現代汽車,8,汽車
2026-07-23,韓,055550,新韓金融,26,金融
2026-07-23,韓,064350,現代Rotem,43,軍工/國防
2026-07-23,韓,105560,KB金融,19,金融
2026-07-23,韓,267260,HD現代電氣,39,電力設備
2026-07-24,日,4063,信越化學,14,矽晶圓/材料
2026-07-24,日,4519,中外製藥,93,生技醫藥
2026-07-24,韓,010950,S-Oil,80,能源
2026-07-24,韓,012330,現代摩比斯,13,汽車
2026-07-24,韓,086790,Hana金融,58,金融
2026-07-24,韓,316140,Woori金融,90,金融
2026-07-27,日,7751,佳能(Canon),84,品牌3C
2026-07-27,韓,011070,LG伊諾特,21,光學元件
2026-07-27,韓,042660,韓華海洋,7,造船
2026-07-28,日,6861,基恩斯(Keyence),39,機器人/自動化
2026-07-28,日,7735,SCREEN,21,半導體設備
2026-07-28,韓,047040,大宇建設,69,傳統產業
2026-07-29,日,5344,Maruwa,66,半導體材料
2026-07-29,日,6301,小松製作所(Komatsu),82,傳統產業
2026-07-29,日,6501,日立,24,工業
2026-07-29,日,6526,Socionext,43,IC設計
2026-07-29,日,6701,NEC,46,IT/系統整合
2026-07-29,日,6857,愛德萬測試,6,封測(OSAT/測試)
2026-07-29,日,8604,野村證券,96,金融
2026-07-29,日,9501,東京電力HD,97,公用事業
2026-07-29,韓,005930,三星電子,2,品牌3C
2026-07-29,韓,009830,韓華solution,65,綠能/太陽能
2026-07-29,韓,028260,三星物產,11,商社/建設
2026-07-29,韓,247540,Ecopro BM,98,電池/儲能
2026-07-30,日,2914,日本菸草(JT),62,傳統消費
2026-07-30,日,4307,野村綜合研究所,91,IT/系統整合
2026-07-30,日,4502,武田藥品,64,生技醫藥
2026-07-30,日,6702,富士通,71,IT/系統整合
2026-07-30,日,6752,松下控股,26,品牌3C
2026-07-30,日,6971,京瓷(Kyocera),56,半導體材料
2026-07-30,日,8035,東京電子,4,半導體設備
2026-07-30,日,8309,三井住友トラ,68,金融/保險
2026-07-30,日,8411,瑞穗FG,25,金融
2026-07-30,韓,005490,POSCO控股,68,傳統產業
2026-07-30,韓,009150,三星電機,3,被動元件
2026-07-30,韓,009540,HD韓國造船海洋,63,造船
2026-07-30,韓,012450,韓華航太,23,軍工/國防
2026-07-30,韓,066570,LG電子,14,品牌3C
2026-07-30,韓,373220,LG新能源,37,電池/儲能
2026-07-31,日,285,鎧俠(Kioxia),1,記憶體
2026-07-31,日,4568,第一三共,42,生技醫藥
2026-07-31,日,5802,住友電工,30,CPO/光通訊
2026-07-31,日,6503,三菱電機,51,功率半導體
2026-07-31,日,6723,瑞薩電子,23,IC設計
2026-07-31,日,6758,索尼集團,32,品牌3C
2026-07-31,日,6762,TDK,28,被動元件
2026-07-31,日,6902,電裝(Denso),88,汽車
2026-07-31,日,6954,發那科(Fanuc),45,機器人/自動化
2026-07-31,日,6981,村田製作所,3,被動元件
2026-07-31,日,7741,豪雅(HOYA),65,半導體材料
2026-07-31,日,8053,住友商事,85,商社
2026-07-31,日,8308,里索那HD,73,金融
2026-07-31,日,8316,三井住友FG,20,金融
2026-07-31,日,8473,SBI控股,60,金融
2026-08-03,日,5631,日製鋼,89,重工業/造船
2026-08-03,日,7003,三井Ｅ＆Ｓ,49,重工業/造船
2026-08-03,日,7201,日產汽車,98,汽車
2026-08-03,日,8001,伊藤忠商事,59,商社
2026-08-03,日,8002,丸紅,44,商社
2026-08-03,日,8058,三菱商事,47,商社
