market,code,name,amount_mil_jpy,rank
JP-東Ｐ,285,キオクシア,4170932,1
JP-東Ｐ,9984,ＳＢＧ,449001,2
JP-東Ｐ,5803,フジクラ,385954,3
JP-東Ｐ,6857,アドテスト,363802,4
JP-東Ｐ,8035,東エレク,329972,5
JP-東Ｐ,6976,太陽誘電,329640,6
JP-東Ｐ,4062,イビデン,259857,7
JP-東Ｐ,6981,村田製,241327,8
JP-東Ｐ,5016,ＪＸ金属,162651,9
JP-東Ｐ,6723,ルネサス,160240,10
JP-東Ｐ,6920,レーザーテク,141016,11
JP-東Ｐ,5801,古河電,139444,12
JP-東Ｐ,6146,ディスコ,132411,13
JP-東Ｐ,8306,三菱ＵＦＪ,89269,14
JP-東Ｐ,7203,トヨタ,89244,15
JP-東Ｐ,7974,任天堂,87158,16
JP-東Ｐ,8136,サンリオ,82980,17
JP-東Ｐ,5802,住友電,76454,18
JP-東Ｐ,9983,ファストリ,76415,19
JP-東Ｐ,8316,三井住友ＦＧ,70683,20
JP-東Ｐ,6762,ＴＤＫ,65544,21
JP-東Ｐ,6752,パナＨＤ,64904,22
JP-東Ｐ,6525,コクサイエレ,64558,23
JP-東Ｐ,6758,ソニーＧ,62908,24
JP-東Ｐ,6501,日立,62495,25
JP-東Ｐ,4063,信越化,61704,26
JP-東Ｐ,8411,みずほＦＧ,61088,27
JP-東Ｐ,7011,三菱重,60860,28
JP-東Ｐ,7735,スクリン,60315,29
JP-東Ｐ,5706,三井金属,57409,30
JP-東Ｐ,4004,レゾナック,54213,31
JP-東Ｐ,3436,ＳＵＭＣＯ,53247,32
JP-東Ｐ,2914,ＪＴ,49437,33
JP-東Ｐ,6954,ファナック,44655,34
JP-東Ｐ,6098,リクルート,44488,35
JP-東Ｐ,6861,キーエンス,44303,36
JP-東Ｐ,8766,東京海上,42495,37
JP-東Ｐ,8058,三菱商,41486,38
JP-東Ｐ,6506,安川電,34492,39
JP-東Ｐ,7741,ＨＯＹＡ,34336,40
JP-東Ｐ,7012,川重,33878,41
JP-東Ｐ,8031,三井物,32247,42
JP-東Ｐ,6301,コマツ,29938,43
JP-東Ｐ,6963,ローム,29670,44
JP-東Ｐ,9432,ＮＴＴ,29647,45
JP-東Ｐ,6367,ダイキン,28847,46
JP-東Ｐ,6503,三菱電,28688,47
JP-東Ｐ,3110,日東紡,28580,48
JP-東Ｐ,7013,ＩＨＩ,28494,49
JP-東Ｐ,2802,味の素,26343,50
JP-東Ｐ,8725,ＭＳ＆ＡＤ,26235,51
JP-東Ｐ,6361,荏原,26230,52
JP-東Ｐ,8002,丸紅,24863,53
JP-東Ｐ,7269,スズキ,24466,54
JP-東Ｐ,8801,三井不,23996,55
JP-東Ｓ,2702,マクドナルド,23696,56
JP-東Ｐ,6701,ＮＥＣ,23674,57
JP-東Ｐ,7267,ホンダ,23213,58
JP-東Ｐ,4452,花王,22809,59
JP-東Ｐ,9433,ＫＤＤＩ,22767,60
JP-東Ｐ,6526,ソシオネクス,22600,61
JP-東Ｐ,5713,住友鉱,22452,62
JP-東Ｐ,6971,京セラ,22449,63
JP-東Ｇ,6613,ＱＤレーザ,22346,64
JP-東Ｐ,7936,アシックス,22339,65
JP-東Ｐ,5333,ＮＧＫ,22283,66
JP-東Ｐ,8001,伊藤忠,22276,67
JP-東Ｐ,6787,メイコー,21621,68
JP-東Ｐ,3197,すかいらーく,21281,69
JP-東Ｐ,9501,東電ＨＤ,21212,70
JP-東Ｐ,6871,日本マイクロ,21155,71
JP-東Ｐ,4502,武田,21123,72
JP-東Ｐ,7182,ゆうちょ銀,20867,73
JP-東Ｐ,4980,デクセリ,20690,74
JP-東Ｐ,6479,ミネベア,20575,75
JP-東Ｐ,7751,キヤノン,19788,76
JP-東Ｐ,9412,スカＪＳＡＴ,19521,77
JP-東Ｐ,8802,菱地所,19517,78
JP-東Ｐ,1605,ＩＮＰＥＸ,19363,79
JP-東Ｇ,485,ＰｏｗｅｒＸ,18944,80
JP-東Ｐ,6702,富士通,18801,81
JP-東Ｐ,6273,ＳＭＣ,18546,82
JP-東Ｐ,7717,Ｖテク,17693,83
JP-東Ｐ,4901,富士フイルム,17333,84
JP-東Ｐ,8053,住友商,17004,85
JP-東Ｐ,8591,オリックス,16467,86
JP-東Ｓ,6890,フェローテク,15839,87
JP-東Ｐ,9101,郵船,15778,88
JP-東Ｐ,9434,ＳＢ,15677,89
JP-東Ｐ,8604,野村,15529,90
JP-東Ｐ,4519,中外薬,15373,91
JP-東Ｐ,8750,第一ライフ,15200,92
JP-東Ｐ,8015,豊田通商,15141,93
JP-東Ｐ,8308,りそなＨＤ,14618,94
JP-東Ｐ,6594,ニデック,14245,95
JP-東Ｐ,3563,Ｆ＆ＬＣ,13935,96
JP-東Ｐ,6383,ダイフク,13809,97
JP-東Ｐ,5108,ブリヂストン,13803,98
JP-東Ｐ,9104,商船三井,13673,99
JP-東Ｐ,9502,中部電,13635,100
JP-東Ｐ,6504,富士電機,13523,101
JP-東Ｐ,4503,アステラス,13323,102
JP-東Ｐ,5401,日本製鉄,13135,103
JP-東Ｐ,8473,ＳＢＩ,13122,104
JP-東Ｐ,7201,日産自,13107,105
JP-東Ｐ,8630,ＳＯＭＰＯ,12577,106
JP-東Ｐ,5332,ＴＯＴＯ,12511,107
JP-東Ｐ,1801,大成建,12432,108
JP-東Ｇ,3905,データセク,12355,109
JP-東Ｐ,6902,デンソー,11911,110
JP-東Ｐ,8309,三井住友トラ,11781,111
JP-東Ｐ,7453,良品計画,11436,112
JP-東Ｐ,8830,住友不,11390,113
JP-東Ｐ,6324,ハーモニック,11374,114
JP-東Ｐ,6988,日東電,11245,115
JP-東Ｐ,6178,日本郵政,11139,116
JP-東Ｐ,4543,テルモ,10991,117
JP-東Ｓ,6227,ＡＩメカ,10826,118
