code,name,market,amount_krw,rank
000660,SK하이닉스,KOSPI,15444120168000,1
005930,삼성전자,KOSPI,8105107532000,2
009150,삼성전기,KOSPI,1918445224000,3
402340,SK스퀘어,KOSPI,1752230232000,4
005935,삼성전자우,KOSPI,885122385108,5
036930,주성엔지니어링,KOSDAQ GLOBAL,541658270050,6
005380,현대차,KOSPI,409525124250,7
006340,대원전선,KOSPI,390817546285,8
403870,HPSP,KOSDAQ GLOBAL,306046016025,9
010120,LS ELECTRIC,KOSPI,261619118750,10
055550,신한지주,KOSPI,257002782500,11
240810,원익IPS,KOSDAQ GLOBAL,253667733000,12
028260,삼성물산,KOSPI,243778063500,13
012450,한화에어로스페이스,KOSPI,243580583500,14
066570,LG전자,KOSPI,236237945650,15
105560,KB금융,KOSPI,223954089400,16
477850,마키나락스,KOSDAQ,215562073145,17
034020,두산에너빌리티,KOSPI,214119311600,18
011070,LG이노텍,KOSPI,207966420500,19
034730,SK,KOSPI,200830944500,20
006400,삼성SDI,KOSPI,194643527250,21
035420,NAVER,KOSPI,188239387650,22
298040,효성중공업,KOSPI,168034386000,23
042700,한미반도체,KOSPI,164122650750,24
475150,SK이터닉스,KOSPI,163895343575,25
002990,금호건설,KOSPI,161561327910,26
012330,현대모비스,KOSPI,158484552000,27
080220,제주반도체,KOSDAQ,158411750850,28
042660,한화오션,KOSPI,150645527050,29
032830,삼성생명,KOSPI,148306805500,30
064400,LG씨엔에스,KOSPI,145231303850,31
079550,LIG디펜스앤에어로스페이스,KOSPI,138968322000,32
068270,셀트리온,KOSPI,137799321900,33
267260,HD현대일렉트릭,KOSPI,136388862500,34
419050,삼기에너지솔루션즈,KOSDAQ,133785210046,35
086520,에코프로,KOSDAQ GLOBAL,133223205200,36
196170,알테오젠,KOSDAQ GLOBAL,132395556000,37
000270,기아,KOSPI,131949610400,38
373220,LG에너지솔루션,KOSPI,117176460500,39
329180,HD현대중공업,KOSPI,116771904000,40
028050,삼성E&A,KOSPI,116237932075,41
353200,대덕전자,KOSPI,113935431000,42
278470,에이피알,KOSPI,113927189000,43
007660,이수페타시스,KOSPI,112102022600,44
0039P0,매드업,KOSDAQ,110859863035,45
086790,하나금융지주,KOSPI,106188548700,46
222800,심텍,KOSDAQ GLOBAL,106136438100,47
003490,대한항공,KOSPI,95548356150,48
153890,져스텍,KOSDAQ,95070826170,49
347850,디앤디파마텍,KOSDAQ,91720416050,50
006800,미래에셋증권,KOSPI,89533807350,51
128940,한미약품,KOSPI,89006213250,52
319660,피에스케이,KOSDAQ,88147797750,53
043260,성호전자,KOSDAQ,87424369425,54
010170,대한광통신,KOSDAQ,87160924345,55
016360,삼성증권,KOSPI,85875422550,56
001440,대한전선,KOSPI,85742878600,57
010140,삼성중공업,KOSPI,85697266000,58
005490,POSCO홀딩스,KOSPI,85429259250,59
002780,진흥기업,KOSPI,85394277676,60
001820,삼화콘덴서,KOSPI,84974197350,61
000150,두산,KOSPI,81147046000,62
093370,후성,KOSPI,76989398615,63
062040,산일전기,KOSPI,75891186750,64
017670,SK텔레콤,KOSPI,74253321900,65
000500,가온전선,KOSPI,73505340750,66
095610,테스,KOSDAQ GLOBAL,73419853600,67
071050,한국금융지주,KOSPI,73365756750,68
064350,현대로템,KOSPI,71721486650,69
000810,삼성화재,KOSPI,71306705500,70
161890,한국콜마,KOSPI,70261620000,71
047040,대우건설,KOSPI,69581056250,72
207940,삼성바이오로직스,KOSPI,69327587500,73
009830,한화솔루션,KOSPI,68763347000,74
058470,리노공업,KOSDAQ GLOBAL,68439887500,75
067310,하나마이크론,KOSDAQ,65953820125,76
018260,삼성에스디에스,KOSPI,65439300250,77
214450,파마리서치,KOSDAQ GLOBAL,65334688500,78
475040,스트라드비젼,KOSDAQ,63290582655,79
006260,LS,KOSPI,62782740250,80
000990,DB하이텍,KOSPI,61803551500,81
247540,에코프로비엠,KOSDAQ GLOBAL,60561653900,82
006360,GS건설,KOSPI,60466874075,83
046940,우원개발,KOSDAQ,59075993582,84
035720,카카오,KOSPI,57758349550,85
039490,키움증권,KOSPI,57297923000,86
089030,테크윙,KOSDAQ,56384383950,87
009540,HD한국조선해양,KOSPI,54787013500,88
003670,포스코퓨처엠,KOSPI,54756239300,89
009155,삼성전기우,KOSPI,54187648500,90
089970,브이엠,KOSDAQ,53614511900,91
316140,우리금융지주,KOSPI,53268503100,92
039030,이오테크닉스,KOSDAQ,53071881500,93
141080,리가켐바이오,KOSDAQ GLOBAL,52924432650,94
064290,인텍플러스,KOSDAQ,51393748800,95
015760,한국전력,KOSPI,51365638350,96
004170,신세계,KOSPI,48990586000,97
047810,한국항공우주,KOSPI,48439072000,98
090430,아모레퍼시픽,KOSPI,48426049000,99
352820,하이브,KOSPI,47803950000,100
483650,달바글로벌,KOSPI,46566953000,101
000720,현대건설,KOSPI,46151780950,102
091590,남화토건,KOSDAQ,45915204540,103
226950,올릭스,KOSDAQ GLOBAL,44296484550,104
307950,현대오토에버,KOSPI,44031088250,105
013580,계룡건설,KOSPI,42573284375,106
084370,유진테크,KOSDAQ,42315238900,107
011230,삼화전자,KOSPI,41741254332,108
034220,LG디스플레이,KOSPI,41395264495,109
003230,삼양식품,KOSPI,41074923500,110
051910,LG화학,KOSPI,40186573250,111
178320,서진시스템,KOSDAQ,39401683000,112
347700,스피어,KOSDAQ,39401528675,113
095340,ISC,KOSDAQ,39288723850,114
454910,두산로보틱스,KOSPI,38197666400,115
950160,코오롱티슈진,KOSDAQ,38112704250,116
440110,파두,KOSDAQ,37749661500,117
281820,케이씨텍,KOSPI,36634601850,118
010950,S-Oil,KOSPI,36599506250,119
024840,KBI메탈,KOSDAQ,36369480945,120
272210,한화시스템,KOSPI,35878252400,121
131970,두산테스나,KOSDAQ GLOBAL,35045036800,122
204320,HL만도,KOSPI,34805045675,123
290650,엘앤씨바이오,KOSDAQ,34012772250,124
065170,비엘팜텍,KOSDAQ,32678741014,125
098460,고영,KOSDAQ,32382824350,126
298380,에이비엘바이오,KOSDAQ GLOBAL,31830005500,127
277810,레인보우로보틱스,KOSDAQ,31577984250,128
108490,로보티즈,KOSDAQ,31042765500,129
013120,동원개발,KOSDAQ,31032466595,130
047050,포스코인터내셔널,KOSPI,31000805475,131
138040,메리츠금융지주,KOSPI,30953168950,132
009420,한올바이오파마,KOSPI,30468554900,133
