code,name,market
2301,光寶科,上市
2305,全友,上市
2324,仁寶,上市
2331,精英,上市
2352,佳世達,上市
2353,宏��,上市
2356,英業達,上市
2357,華碩,上市
2362,藍天,上市
2364,倫飛,上市
2365,昆盈,上市
2376,技嘉,上市
2377,微星,上市
2380,虹光,上市
2382,廣達,上市
2387,精元,上市
2395,研華,上市
2397,友通,上市
2399,映泰,上市
2405,輔信,上市
2417,圓剛,上市
2425,承啟,上市
2465,麗臺,上市
2495,普安,上市
3002,歐格,上市
3005,神基,上市
3013,晟銘電,上市
3017,奇鋐,上市
3022,威強電,上市
3046,建��,上市
3057,喬鼎,上市
3060,銘異,上市
3231,緯創,上市
3416,融程電,上市
3494,誠研,上市
3515,華擎,上市
3652,精聯,上市
3701,大眾控,上市
3706,神達,上市
3712,永崴投控,上市
4916,事欣科,上市
4938,和碩,上市
5215,科嘉-KY,上市
5258,虹堡,上市
6117,迎廣,上市
6128,上福,上市
6166,凌華,上市
6206,飛捷,上市
6230,尼得科超眾,上市
6235,華孚,上市
6277,宏正,上市
6414,樺漢,上市
6579,研揚,上市
6591,動力-KY,上市
6669,緯穎,上市
6831,邁科,上市
6928,攸泰科技,上市
6933,AMAX-KY,上市
7711,永擎,上市
8114,振樺電,上市
8163,達方,上市
8210,勤誠,上市
9912,偉聯,上市
