code,name_zh,market,period,pre_date,actual_date,lead_days
3023,,sii,2024Q1,2024-04-10,,
2379,,sii,2024Q1,2024-04-11,,
3481,,sii,2024Q1,2024-04-11,,
3037,,sii,2024Q1,2024-04-15,,
8271,,sii,2024Q1,2024-04-16,,
3264,,otc,2024Q1,2024-04-17,,
2359,,sii,2024Q1,2024-04-18,,
3006,,sii,2024Q1,2024-04-18,,
5876,,sii,2024Q1,2024-04-18,,
2484,,sii,2024Q1,2024-04-19,,
3019,,sii,2024Q1,2024-04-19,,
3715,,sii,2024Q1,2024-04-19,,
5371,,otc,2024Q1,2024-04-19,,
6278,,sii,2024Q1,2024-04-19,,
6691,,sii,2024A,2024-04-19,,
2301,,sii,2024Q1,2024-04-22,,
2308,,sii,2024Q1,2024-04-22,,
2383,,sii,2024Q1,2024-04-22,,
2834,,sii,2024Q1,2024-04-22,,
4991,,otc,2024Q1,2024-04-22,,
6257,,sii,2024Q1,2024-04-22,,
2458,,sii,2024Q1,2024-04-23,,
1590,,sii,2024Q1,2024-04-24,,
1785,,otc,2024Q1,2024-04-24,,
3221,,otc,2024Q1,2024-04-24,,
2385,,sii,2024Q1,2024-04-25,,
2425,,sii,2024Q1,2024-04-25,,
3673,,sii,2024Q1,2024-04-25,,
4904,,sii,2024Q1,2024-04-25,,
3016,,sii,2024Q1,2024-04-26,,
2305,,sii,2024Q1,2024-04-29,,
2486,,sii,2024Q1,2024-04-29,,
3026,,sii,2024Q1,2024-04-29,,
3036,,sii,2024Q1,2024-04-29,,
3044,,sii,2024Q1,2024-04-29,,
3441,,otc,2024Q1,2024-04-29,,
3491,,otc,2024Q1,2024-04-29,,
3707,,otc,2024Q1,2024-04-29,,
6207,,otc,2024Q1,2024-04-29,,
6414,,sii,2024Q1,2024-04-29,,
6669,,sii,2024Q1,2024-04-29,,
6781,,sii,2024Q1,2024-04-29,,
8043,,otc,2024Q1,2024-04-29,,
2027,,sii,2024Q1,2024-04-30,,
2313,,sii,2024Q1,2024-04-30,,
2353,,sii,2024Q1,2024-04-30,,
2467,,sii,2024Q1,2024-04-30,,
2615,,sii,2024Q1,2024-04-30,,
2630,,sii,2024Q1,2024-04-30,,
3293,,otc,2024Q1,2024-04-30,,
3324,,otc,2024Q1,2024-04-30,,
3363,,otc,2024Q1,2024-04-30,,
3374,,otc,2024Q1,2024-04-30,,
4989,,sii,2024Q1,2024-04-30,,
5269,,sii,2024Q1,2024-04-30,,
5289,,otc,2024Q1,2024-04-30,,
5425,,otc,2024Q1,2024-04-30,,
6187,,otc,2024Q1,2024-04-30,,
6197,,sii,2024Q1,2024-04-30,,
6223,,otc,2024Q1,2024-04-30,,
6285,,sii,2024Q1,2024-04-30,,
6409,,sii,2024Q1,2024-04-30,,
8021,,sii,2024Q1,2024-04-30,,
8050,,otc,2024Q1,2024-04-30,,
8114,,sii,2024Q1,2024-04-30,,
1312,,sii,2024Q1,2024-05-02,,
1519,,sii,2024Q1,2024-05-02,,
1717,,sii,2024Q1,2024-05-02,,
