日期,時間,代碼,公司,成交金額排名,主族群,地點,摘要
2026-08-10,14:30,3715,定穎投控,193,PCB/CCL,Webex線上會議,本公司受邀參加永豐金證券舉辦之線上法人說明會。
2026-08-11,15:00,4958,臻鼎-KY,15,PCB/CCL,報名連結:https://www.zdtco.com/tw/investor/events,"(1)2026年上半年營運概況說明
(2)Key Messages
(3)提問時間"
2026-08-11,15:00,8150,南茂,65,封測(OSAT/測試),採電話會議方式進行,115年第二季營運成果線上法人說明會
2026-08-11,14:00,3090,日電貿,72,IC通路,線上法人說明會,公告本公司受邀參加國票證券115年8月11日舉辦之線上法人說明會。
2026-08-11,15:00,1560,中砂,167,半導體材料,華南永昌證券(台北市松山區民生東路四段54號4樓大會議室),本公司受邀參加華南永昌證券舉辦之法人說明會，說明本公司第二季業務與財務概況。
2026-08-12,14:30,3017,奇鋐,17,"AI伺服器, 散熱/結構件",台北市敦化南路一段108號B2(富邦國際會議中心),受邀參加富邦證券法人說明會，說明115年第二季營運結果與未來展望。
2026-08-12,15:00,2317,鴻海,26,"AI伺服器, 組裝代工(EMS)",電話會議,"本公司下午3點00分召開中文線上法人說明會。
線上加入：https://fxn-event.webex.com/fxn-event-tc/j.php?MTID=m5d56625bf0f3f7d89019d692159f6f3b
活動號：2518 340 4697
活動密碼：0812"
2026-08-12,14:30,6446,藥華藥,48,生技醫藥,台北市松山區民生東路三段115號14樓,本公司受邀參加玉山證券舉辦之法人說明會，說明本公司之營運概況。
2026-08-12,16:00,2357,華碩,62,品牌3C,本次為線上會議,"1.說明115年第2季營運結果。
2.報告品牌業務近況及公司願景。"
2026-08-12,14:00,4938,和碩,129,組裝代工(EMS),電話會議,本公司應富邦證券之邀參加電話會議說明本公司2Q26營運概況
2026-08-12,14:30,2478,大毅,136,被動元件,線上法說會,公司營運概況報告
2026-08-12,14:00,6206,飛捷,171,未分類,凱基總部大樓12F宴會廳(台北市中山區明水路700號),公告本公司參加凱基證券8月12日舉辦之法人說明會
2026-08-12,14:00,3081,聯亞,198,CPO/光通訊,線上會議,"本公司受邀參加元大證券所舉辦之線上法人說明會，說明本公司2026年第2季營運概況。
法說會網址: https://yuanta-cbd.webex.com/yuanta-cbd/j.php?MTID=m83436a1d88faa6f6e11cb2b4df1eb2b9，
會議號: 2518 473 0580
密碼: 3081
本會議將以中文進行。"
2026-08-13,17:00,8299,群聯,31,記憶體,SinoPac Securities CLST Branch安排之線上會議,本公司受邀參加SinoPac Securities CLST Branch舉辦之群聯2Q26財報公告線上法說會 (英文場)，說明營運績效等。
2026-08-13,15:30,2382,廣達,38,"AI伺服器, 組裝代工(EMS)",線上電話會議,"本公司受Morgan Stanley證券邀請參加""115年第二季營運成果線上電話說明會”"
2026-08-13,14:30,8069,元太,106,顯示技術,線上法人說明會,"說明本公司115年第2季財務及業務相關資訊。
日程及網路會議網址： 
時間: 2:30 – 3:30 p.m. 語言: 中文 
網址: https://attendee.gotowebinar.com/register/3301027933073302107
Webinar ID: 885-738-435
時間: 4:00 – 5:00 p.m. 語言: 英文 
網址: https://attendee.gotowebinar.com/register/3766589743576199000
Webinar ID: 466-255-955

本次法人說明會將使用GoToWebinar平台。建議與會者使用電腦網頁登入，並通過會議連結參加。
如使用行動裝置登入，請下載 ""GoTo"" APP 並輸入會議Webinar ID。"
2026-08-13,14:00,2324,仁寶,117,組裝代工(EMS),線上會議,UBS舉辦之仁寶電腦115年第二季財報線上法人說明會，說明本公司業務及現況
2026-08-13,15:30,2884,玉山金,118,金融,玉山金控總部,2026年第2季財業務資訊
2026-08-14,14:30,3374,精材,45,封測(OSAT/測試),線上法說會,本公司受邀參加凱基證券舉辦之線上法說會，會中說明本公司經營結果及營運展望。
2026-08-14,16:00,3529,力旺,75,IC設計,線上法說會,本公司將舉辦2026年第二季線上法人說明會，說明本公司財務及業務相關資訊。
2026-08-14,16:00,3045,台灣大,145,電信,電話會議,(1)公布本公司115年第2季財務報告。(2)參加方式：請參見https://corp.taiwanmobile.com/investor-relations/investor-relations.html
2026-08-14,14:30,6414,樺漢,164,工業電腦/物聯網,"國票金控大樓七樓會議廳
(台北市樂群三路128號七樓)",本公司受邀參加國票證券舉辦之2026年第二季法人說明會，說明本公司營運成果及未來展望。
2026-08-18,14:00,3481,群創,13,面板,線上法說會,本公司將舉辦2026年下半年線上法說會，報告115年第二季公司營運成果及未來營運展望。
2026-08-18,14:00,3450,聯鈞,33,CPO/光通訊,元大金融廣場3樓C廳(台北市仁愛路三段157號),本公司召開法人說明會
2026-08-19,14:00,3042,晶技,67,被動元件,"台北遠東香格里拉B1大都會廳
(台北市敦化南路二段201號B1)",本公司召開法人說明會，說明近期營運成果及未來展望。
2026-08-19,14:00,8210,勤誠,110,AI伺服器,桃園國際機場凱悅酒店,本公司受邀參加 J.P. Morgan主辦之第11屆Asia Tech Tour
2026-08-20,14:30,2634,漢翔,130,航太/國防,線上法人說明會,"漢翔公司受邀參加元大證券舉辦之線上法人說明會，將由公司經營團隊說明115年第二季經營實績與近期市場概況。
報名網址：https://forms.cloud.microsoft/r/wJcd2SVkzn"
