code,name,market,industry
1260,富味鄉,興櫃,食品工業
1269,乾杯,興櫃,觀光餐旅
1271,晨暉生技,興櫃,生技醫療業
1293,利統,興櫃,食品工業
1343,旭東環保,興櫃,綠能環保
1480,東盟開發,興櫃,鋼鐵工業
1594,日高,興櫃,電機機械
2071,震南鐵,興櫃,鋼鐵工業
2237,華德動能,興櫃,電機機械
2245,詠勝昌*,興櫃,電機機械
2249,湧盛,興櫃,電機機械
2252,為昇科,興櫃,其他電子業
2255,凱銳光電,興櫃,其他電子業
2256,歐特明,興櫃,其他電子業
2644,中信造船,興櫃,航運業
2733,維格餅家,興櫃,觀光餐旅
2741,老四川,興櫃,觀光餐旅
2758,路易莎咖啡,興櫃,觀光餐旅
2760,巨宇翔,興櫃,觀光餐旅
2761,橘焱胡同,興櫃,觀光餐旅
2938,床的世界,興櫃,居家生活
2940,歐都納,興櫃,運動休閒
2942,京站,興櫃,居家生活
3097,拍檔,興櫃,電腦及週邊設備業
3117,年程,興櫃,電子零組件業
3184,微邦,興櫃,生技醫療業
3473,智通聯網,興櫃,通信網路業
3585,聯致,興櫃,電子零組件業
3595,山太士,興櫃,光電業
3603,建祥國際,興櫃,電子通路業
3633,云光,興櫃,光電業
3644,凌嘉科,興櫃,半導體業
3659,百辰,興櫃,光電業
3678,聯享,興櫃,光電業
4115,善德生技,興櫃,生技醫療業
4117,普生,興櫃,生技醫療業
4150,優你康,興櫃,生技醫療業
4170,鑫品生醫,興櫃,生技醫療業
4172,因華,興櫃,生技醫療業
4186,尖端醫,興櫃,生技醫療業
4194,禾生技,興櫃,生技醫療業
4197,暐世,興櫃,生技醫療業
4431,敏成健康,興櫃,其他業
4537,旭東,興櫃,光電業
4544,春日,興櫃,電機機械
4546,長亨,興櫃,電機機械
4553,盛復,興櫃,電機機械
4559,久裕興,興櫃,運動休閒
4565,宏偉,興櫃,電機機械
4570,傑生,興櫃,電機機械
4573,高明鐵,興櫃,電機機械
4575,銓寶,興櫃,電機機械
4587,寶元數控,興櫃,電機機械
4589,碩陽電機,興櫃,電機機械
4724,宣捷幹細胞,興櫃,生技醫療業
4732,彥臣,興櫃,生技醫療業
4738,大同精化,興櫃,化學工業
4765,磐采,興櫃,化學工業
4925,智微,興櫃,半導體業
4980,佐臻,興櫃,電子零組件業
5240,建騰,興櫃,光電業
5246,勵威,興櫃,半導體業
5248,景傳,興櫃,光電業
5254,欣訊科技,興櫃,電子零組件業
5262,立達,興櫃,半導體業
5267,龍翩,興櫃,光電業
5271,紘通,興櫃,電子零組件業
5297,廣化,興櫃,半導體業
5859,遠壽,興櫃,金融保險業
5863,瑞興銀,興櫃,金融保險業
6027,德信,興櫃,金融保險業
6035,悠遊卡,興櫃,金融保險業
6407,相互,興櫃,電子零組件業
6428,淘米,興櫃,文化創意業
6434,達輝光電,興櫃,光電業
6467,泰合,興櫃,生技醫療業
6473,美賣*,興櫃,數位雲端
6483,原創生醫,興櫃,生技醫療業
6493,雷虎生,興櫃,生技醫療業
6518,康科特,興櫃,生技醫療業
6536,碩豐,興櫃,資訊服務業
6539,麗彤,興櫃,生技醫療業
6543,普惠醫工,興櫃,生技醫療業
6549,景凱,興櫃,生技醫療業
6555,榮炭,興櫃,電子零組件業
6559,研晶,興櫃,光電業
6563,映智,興櫃,半導體業
6564,安特羅,興櫃,生技醫療業
6565,物聯,興櫃,數位雲端
6572,博錸,興櫃,生技醫療業
6580,台睿,興櫃,生技醫療業
6583,友松,興櫃,文化創意業
6586,醣基,興櫃,生技醫療業
6595,光禹國際,興櫃,文化創意業
6599,普達系統,興櫃,電腦及週邊設備業
6604,儒億,興櫃,電機機械
6610,安成生技,興櫃,生技醫療業
6618,永虹先進,興櫃,化學工業
6621,華宇藥,興櫃,生技醫療業
6622,百聿數碼,興櫃,文化創意業
6634,欣耀,興櫃,生技醫療業
6638,沅聖,興櫃,電腦及週邊設備業
6639,源大環能,興櫃,油電燃氣業
6648,斯其大,興櫃,其他電子業
6650,帝圖,興櫃,文化創意業
6659,天明製藥,興櫃,生技醫療業
6665,康聯生醫,興櫃,生技醫療業
6673,和詮,興櫃,光電業
6676,祥翊,興櫃,生技醫療業
6677,瑩碩生技,興櫃,生技醫療業
6682,華旭先進,興櫃,光電業
6696,仁新,興櫃,生技醫療業
6704,國璽幹細胞,興櫃,生技醫療業
6705,振躍精密,興櫃,電機機械
6707,富基電通,興櫃,電子通路業
6709,昱厚生技,興櫃,生技醫療業
6723,傑智環境,興櫃,綠能環保
6729,機光科技,興櫃,光電業
6734,安盛生,興櫃,生技醫療業
6737,秀育,興櫃,電腦及週邊設備業
6738,鼎��,興櫃,資訊服務業
6744,豐技生技,興櫃,生技醫療業
6748,亞果生醫,興櫃,生技醫療業
6750,泰創工程,興櫃,其他電子業
6755,連鋐科技,興櫃,電子零組件業
6758,冠亞,興櫃,生技醫療業
6775,穎台科技,興櫃,光電業
6780,學習王,興櫃,文化創意業
6784,天凱科技,興櫃,通信網路業
6786,芯測,興櫃,半導體業
6787,晶瑞光,興櫃,光電業
6793,天力離岸,興櫃,其他業
6797,圓點奈米,興櫃,生技醫療業
6798,展逸,興櫃,運動休閒
6808,三鼎生技,興櫃,生技醫療業
6810,新穎生醫,興櫃,生技醫療業
6812,梭特,興櫃,光電業
6814,路迦生醫,興櫃,生技醫療業
6815,晶鑽生醫,興櫃,生技醫療業
6816,捷智商訊,興櫃,資訊服務業
6817,溫士頓,興櫃,生技醫療業
6818,連騰,興櫃,通信網路業
6819,眾智,興櫃,半導體業
6820,連訊,興櫃,通信網路業
6825,和暢科技,興櫃,電腦及週邊設備業
6826,和淞,興櫃,其他電子業
6827,巨生醫,興櫃,生技醫療業
6832,金鼎科,興櫃,其他業
6833,太康精密,興櫃,電子零組件業
6839,開陽能源,興櫃,綠能環保
6842,瑞宇,興櫃,半導體業
6847,普瑞博,興櫃,生技醫療業
6848,拉法醫,興櫃,生技醫療業
6849,奇鼎科技,興櫃,其他電子業
6850,光鼎生技,興櫃,生技醫療業
6857,宏�硒撢�,興櫃,生技醫療業
6858,愛比科技,興櫃,電腦及週邊設備業
6864,元樟生技,興櫃,生技醫療業
6867,坦德科技,興櫃,光電業
6868,采威國際,興櫃,資訊服務業
6876,朗齊生醫*,興櫃,生技醫療業
6878,歐付寶,興櫃,金融保險業
6879,大江基因,興櫃,生技醫療業
6882,甲尚,興櫃,資訊服務業
6883,微電能源,興櫃,綠能環保
6886,遠東生技,興櫃,食品工業
6891,樂迦再生,興櫃,生技醫療業
6892,台寶生醫,興櫃,生技醫療業
6898,程曦資訊,興櫃,資訊服務業
6911,群運,興櫃,其他業
6912,益鈞環科*,興櫃,綠能環保
6915,美強光,興櫃,電子零組件業
6917,竟天,興櫃,生技醫療業
6920,恆勁科技,興櫃,半導體業
6926,聖安生醫,興櫃,生技醫療業
6927,聯合聚晶,興櫃,半導體業
6932,水星生醫*,興櫃,生技醫療業
6935,王子製藥,興櫃,食品工業
6938,藍新資訊,興櫃,資訊服務業
6939,啟弘生技,興櫃,生技醫療業
6940,格斯科技*,興櫃,電子零組件業
6946,三地能源,興櫃,綠能環保
6947,台鎔科技,興櫃,綠能環保
6959,兆捷科技,興櫃,化學工業
6963,品元,興櫃,食品工業
6972,博瑞達應材,興櫃,化學工業
6973,永立榮,興櫃,生技醫療業
6976,育世博-KY,興櫃,生技醫療業
6977,聯純,興櫃,綠能環保
6979,勝釩,興櫃,光電業
6980,鐳洋科技,興櫃,通信網路業
6984,ACPAY,興櫃,數位雲端
6987,寶晶能源*,興櫃,綠能環保
6990,華鉬,興櫃,綠能環保
6995,野獸國,興櫃,其他業
6999,瀚醫生技,興櫃,生技醫療業
7415,元澄半導體,興櫃,半導體業
7418,香繼光,興櫃,觀光餐旅
7419,達勝,興櫃,電子零組件業
7427,華上生醫,興櫃,生技醫療業
7443,凡事康,興櫃,其他業
7455,樺緯物聯,興櫃,電腦及週邊設備業
7507,環拓科技,興櫃,綠能環保
7516,清淨海,興櫃,其他業
7530,鋒魁科技,興櫃,半導體業
7551,知識科技,興櫃,數位雲端
7558,群利,興櫃,其他業
7561,光晟生技,興櫃,生技醫療業
7562,博來科技,興櫃,電腦及週邊設備業
7566,亞果遊艇,興櫃,觀光餐旅
7575,安美得,興櫃,生技醫療業
7578,利百景,興櫃,其他業
7583,國際海洋,興櫃,綠能環保
7590,怡和國際,興櫃,其他業
7595,世基生醫,興櫃,生技醫療業
7607,通用幹細胞*,興櫃,生技醫療業
7669,碩正科技,興櫃,半導體業
7689,大鵬科CLMX,興櫃,通信網路業
7702,前端風電,興櫃,綠能環保
7706,宏�硈邿F,興櫃,其他業
7707,益芯科,興櫃,半導體業
7710,東擎科技,興櫃,電腦及週邊設備業
7719,碳基,興櫃,其他業
7724,諾亞克,興櫃,生技醫療業
7725,列特博,興櫃,生技醫療業
7726,暄達,興櫃,生技醫療業
7729,仲恩生醫,興櫃,生技醫療業
7731,火星生技*,興櫃,食品工業
7735,台智雲,興櫃,資訊服務業
7737,凱鈿,興櫃,數位雲端
7742,天弘化,興櫃,化學工業
7745,紅陽,興櫃,數位雲端
7748,鑫囍創業,興櫃,其他業
7752,世紀樺欣,興櫃,綠能環保
7754,安基生技,興櫃,生技醫療業
7756,多那之,興櫃,觀光餐旅
7758,睿騰能源,興櫃,電子零組件業
7759,視航生醫,興櫃,生技醫療業
7761,三大未來,興櫃,綠能環保
7762,吉晟生,興櫃,生技醫療業
7763,崇舜,興櫃,化學工業
7764,聖州,興櫃,其他業
7771,綠基,興櫃,光電業
7773,富禾生醫,興櫃,生技醫療業
7776,奧孟亞,興櫃,生技醫療業
7779,鍇睿國際,興櫃,運動休閒
7781,昕力資*,興櫃,數位雲端
7783,佳運,興櫃,綠能環保
7784,安邦生技*,興櫃,生技醫療業
7785,北祥科服,興櫃,數位雲端
7789,開展,興櫃,觀光餐旅
7790,思必瑞特,興櫃,生技醫療業
7796,擷發科,興櫃,半導體業
7797,Q BURGER,興櫃,觀光餐旅
7798,將捷,興櫃,建材營造業
7801,華芸科技,興櫃,資訊服務業
7806,精華生醫,興櫃,食品工業
7808,訊聯智藥,興櫃,生技醫療業
7812,稜研科技*,興櫃,通信網路業
7813,宇辰系統,興櫃,其他電子業
7814,海昌生技,興櫃,生技醫療業
7815,新特,興櫃,半導體業
7816,來穎,興櫃,電子零組件業
7824,智寶,興櫃,其他業
7825,和亞智慧,興櫃,其他電子業
7826,極風雲創,興櫃,數位雲端
7829,思捷優達-KY,興櫃,生技醫療業
7831,捷博,興櫃,居家生活
7832,智新生技*,興櫃,生技醫療業
7833,綠岩能源,興櫃,綠能環保
7834,來毅數位,興櫃,資訊服務業
7836,智生活,興櫃,其他業
7837,啟新生,興櫃,生技醫療業
7840,祥圃,興櫃,農業科技業
7841,經貿聯網,興櫃,資訊服務業
7843,英柏得,興櫃,半導體業
