code,name,market
2302,麗正,上市
2303,聯電,上市
2329,華泰,上市
2330,台積電,上市
2337,旺宏,上市
2338,光罩,上市
2340,台亞,上市
2342,茂矽,上市
2344,華邦電,上市
2351,順德,上市
2363,矽統,上市
2369,菱生,上市
2379,瑞昱,上市
2388,威盛,上市
2401,凌陽,上市
2408,南亞科,上市
2434,統懋,上市
2436,偉詮電,上市
2441,超豐,上市
2449,京元電子,上市
2451,創見,上市
2454,聯發科,上市
2458,義隆,上市
2481,強茂,上市
3006,晶豪科,上市
3014,聯陽,上市
3016,嘉晶,上市
3034,聯詠,上市
3035,智原,上市
3041,揚智,上市
3094,聯傑,上市
3135,凌航,上市
3189,景碩,上市
3257,虹冠電,上市
3413,京鼎,上市
3443,創意,上市
3450,聯鈞,上市
3530,晶相光,上市
3532,台勝科,上市
3545,敦泰,上市
3583,辛耘,上市
3588,通嘉,上市
3592,瑞鼎,上市
3661,世芯-KY,上市
3686,達能,上市
3711,日月光投控,上市
4919,新唐,上市
4952,凌通,上市
4961,天鈺,上市
4967,十銓,上市
4968,立積,上市
5222,全訊,上市
5269,祥碩,上市
5285,界霖,上市
5471,松翰,上市
6202,盛群,上市
6239,力成,上市
6243,迅杰,上市
6257,矽格,上市
6271,同欣電,上市
6415,矽力*-KY,上市
6451,訊芯-KY,上市
6515,穎崴,上市
6525,捷敏-KY,上市
6526,達發,上市
6531,愛普*,上市
6533,晶心科,上市
6552,易華電,上市
6573,虹揚-KY,上市
6695,芯鼎,上市
6719,力智,上市
6756,威鋒電子,上市
6770,力積電,上市
6789,采鈺,上市
6799,來頡,上市
6909,創控,上市
6937,天虹,上市
6962,奕力-KY,上市
7749,意騰-KY,上市
7768,頌勝科技,上市
7769,鴻勁,上市
7822,倍利科,上市
8016,矽創,上市
8028,昇陽半導體,上市
8081,致新,上市
8110,華東,上市
8131,福懋科,上市
8150,南茂,上市
8261,富鼎,上市
8271,宇瞻,上市
