market,code,name,amount,rank
TW-上市,2330,台積電,95455231293,1
TW-上市,2454,聯發科,67643468265,2
TW-上市,2327,國巨*,54979297443,3
TW-上市,2408,南亞科,50637992661,4
TW-上市,3037,欣興,49201314756,5
TW-上市,2308,台達電,33572208185,6
TW-上市,3711,日月光投控,30852871336,7
TW-上市,3231,緯創,29533146551,8
TW-上市,2303,聯電,21507335264,9
TW-上市,2344,華邦電,18502608259,10
TW-上市,6669,緯穎,18234879925,11
TW-上市,2301,光寶科,16539004190,12
TW-上市,3481,群創,16242834512,13
TW-上市,1303,南亞,15661862217,14
TW-上市,4958,臻鼎-KY,15618174894,15
TW-上市,2383,台光電,14831829755,16
TW-上市,3017,奇鋐,14509938570,17
TW-上市,2337,旺宏,13836825160,18
TW-上市,3443,創意,12655876735,19
TW-上市,2368,金像電,12028098143,20
TW-上市,2360,致茂,11774967945,21
TW-上櫃,6274,台燿,11485904060,22
TW-上市,3653,健策,11277873830,23
TW-上市,6770,力積電,10831833800,24
TW-上市,2345,智邦,10304733550,25
TW-上市,2317,鴻海,10291326035,26
TW-上市,2313,華通,9245815653,27
TW-上市,3665,貿聯-KY,8854887565,28
TW-上市,2492,華新科,8513298893,29
TW-上櫃,8358,金居,8356053269,30
TW-上櫃,8299,群聯,8238364060,31
TW-上櫃,5483,中美晶,8069261404,32
TW-上市,3450,聯鈞,8061245065,33
TW-上市,2059,川湖,8051008280,34
TW-上市,3008,大立光,7952341745,35
TW-上市,2449,京元電子,7571100620,36
TW-上櫃,6488,環球晶,7464640410,37
TW-上市,2382,廣達,7447912196,38
TW-上市,6213,聯茂,6463212911,39
TW-上櫃,3105,穩懋,6241029294,40
TW-上市,8039,台虹,6135730479,41
TW-上市,6239,力成,5968044527,42
TW-上市,7769,鴻勁,5744198010,43
TW-上市,8046,南電,5641045892,44
TW-上櫃,3374,精材,5583596405,45
TW-上櫃,6223,旺矽,5569523475,46
TW-上市,3661,世芯-KY,5364832955,47
TW-上市,6446,藥華藥,5177661750,48
TW-上櫃,6147,頎邦,4866643491,49
TW-上櫃,5347,世界,4718073794,50
TW-上櫃,5274,信驊,4702817445,51
TW-上市,3189,景碩,4620580377,52
TW-上櫃,5289,宜鼎,4591879860,53
TW-上櫃,3441,聯一光,4476771248,54
TW-上市,2481,強茂,4183425373,55
TW-上櫃,3260,威剛,4141752350,56
TW-上市,2881,富邦金,3772804932,57
TW-上櫃,3362,先進光,3575964764,58
TW-上市,3006,晶豪科,3572347424,59
TW-上市,8996,高力,3520615990,60
TW-上市,2376,技嘉,3375410854,61
TW-上市,2357,華碩,3262144603,62
TW-上櫃,6187,萬潤,3235839580,63
TW-上市,6139,亞翔,3231758825,64
TW-上市,8150,南茂,3195626138,65
TW-上市,2409,友達,3170953591,66
TW-上市,3042,晶技,3149853172,67
TW-上市,6442,光聖,3106648515,68
TW-上市,6805,富世達,3027573375,69
TW-上市,2379,瑞昱,2957900628,70
TW-上市,2377,微星,2879638879,71
TW-上市,3090,日電貿,2853540703,72
TW-上市,2891,中信金,2835865823,73
TW-上市,2451,創見,2689157000,74
TW-上櫃,3529,力旺,2664858315,75
TW-上市,2885,元大金,2543838531,76
TW-上市,2882,國泰金,2526940539,77
TW-上市,6415,矽力*-KY,2508291004,78
TW-上市,4967,十銓,2441846851,79
TW-上櫃,3324,雙鴻,2287851302,80
TW-上市,2395,研華,2284444026,81
TW-上市,3034,聯詠,2275716564,82
TW-上市,2356,英業達,2266558204,83
TW-上櫃,3363,上詮,2230771438,84
TW-上市,2464,盟立,2214886072,85
TW-上市,2618,長榮航,2156480373,86
TW-上市,2412,中華電,2138146500,87
TW-上市,2484,希華,2071498099,88
TW-上市,3036,文曄,2070773087,89
TW-上市,1802,台玻,2070050372,90
TW-上櫃,3163,波若威,2023164382,91
TW-上市,8021,尖點,2017737736,92
TW-上市,6451,訊芯-KY,2015724988,93
TW-上櫃,5328,華容,2009723843,94
TW-上市,6515,穎崴,1962028675,95
TW-上市,6285,啟碁,1958589173,96
TW-上市,8261,富鼎,1953170219,97
TW-上市,2404,漢唐,1941119505,98
TW-上市,2892,第一金,1940302532,99
TW-上市,2486,一詮,1935443831,100
TW-上市,1216,統一,1901212972,101
TW-上市,3026,禾伸堂,1884270105,102
TW-上市,2049,上銀,1881555623,103
TW-上櫃,6510,精測,1844344075,104
TW-上櫃,3211,順達,1843196247,105
TW-上櫃,8069,元太,1841934966,106
TW-上市,2886,兆豐金,1834536641,107
TW-上市,2455,全新,1816257678,108
TW-上市,2801,彰銀,1743540268,109
TW-上市,8210,勤誠,1735912175,110
TW-上市,3533,嘉澤,1692562235,111
TW-上市,8271,宇瞻,1665161243,112
TW-上市,2332,友訊,1660083361,113
TW-上市,1326,台化,1657186936,114
TW-上市,2887,台新新光金,1636649307,115
TW-上市,2441,超豐,1603059385,116
TW-上市,2324,仁寶,1598725018,117
TW-上市,2884,玉山金,1554274799,118
TW-上櫃,3491,昇達科,1526429630,119
TW-上市,7750,新代,1520012790,120
TW-上櫃,1815,富喬,1476125641,121
TW-上櫃,4979,華星光,1458568980,122
TW-上市,8112,至上,1454348952,123
TW-上市,6271,同欣電,1417168042,124
TW-上市,1590,亞德客-KY,1411230675,125
TW-上市,3044,健鼎,1385384864,126
TW-上市,6505,台塑化,1349184482,127
TW-上市,6531,愛普*,1338044654,128
TW-上市,4938,和碩,1334619812,129
TW-上市,2634,漢翔,1315184130,130
TW-上市,2834,臺企銀,1301556673,131
TW-上櫃,8111,立碁,1301504977,132
TW-上市,3706,神達,1299917322,133
TW-上市,1301,台塑,1270686912,134
TW-上市,2890,永豐金,1266028306,135
TW-上市,2478,大毅,1255273596,136
TW-上櫃,5371,中光電,1215628498,137
TW-上市,6830,汎銓,1209190554,138
TW-上櫃,5351,鈺創,1208358639,139
TW-上市,2603,長榮,1194296071,140
TW-上市,4904,遠傳,1187619526,141
TW-上櫃,8043,蜜望實,1187187424,142
TW-上櫃,5425,台半,1183317782,143
TW-上櫃,7734,印能科技,1174662955,144
TW-上市,3045,台灣大,1171403501,145
TW-上市,2883,凱基金,1133188246,146
TW-上市,2880,華南金,1110466779,147
TW-上櫃,1785,光洋科,1075868871,148
TW-上櫃,4931,新盛力,1050088651,149
TW-上櫃,3293,鈊象,1048451749,150
TW-上市,6831,邁科,1044881602,151
TW-上市,3035,智原,1043750710,152
TW-上市,2493,揚博,1041700982,153
TW-上市,1519,華城,1036572921,154
TW-上市,4919,新唐,1023870933,155
TW-上市,3702,大聯大,1018289884,156
TW-上市,3016,嘉晶,968608692,157
TW-上櫃,3131,弘塑,955287370,158
TW-上櫃,6290,良維,938076465,159
TW-上市,3406,玉晶光,909963215,160
TW-上櫃,4939,亞電,906705545,161
TW-上市,6257,矽格,901718821,162
TW-上市,3048,益登,888667294,163
TW-上市,6414,樺漢,879559788,164
TW-上櫃,5536,聖暉*,863972590,165
TW-上市,5880,合庫金,851092878,166
TW-上市,1560,中砂,847790419,167
TW-上市,2912,統一超,829488071,168
TW-上市,2425,承啟,825611247,169
TW-上櫃,3264,欣銓,795126021,170
TW-上市,6206,飛捷,791028745,171
TW-上市,2812,台中銀,788800429,172
TW-上市,2610,華航,784705551,173
TW-上市,6781,AES-KY,781509645,174
