主族群,細分產品,國家,排名,代碼,公司,產業地位
科技(綜合),Semiconductors,美,1,MU,Micron Technology Inc. Common Stock,(底層分類，來自Nasdaq官方sector/industry)
記憶體,DRAM/NAND/HBM,美,1,MU,Micron Technology Inc. Common Stock,全球記憶體大廠
科技(綜合),Electronic Components,美,2,SNDK,Sandisk Corporation Common Stock,(底層分類，來自Nasdaq官方sector/industry)
記憶體,NAND Flash,美,2,SNDK,Sandisk Corporation Common Stock,NAND快閃記憶體廠(從WDC分拆)
工業,Auto Manufacturing,美,3,TSLA,Tesla Inc. Common Stock,(底層分類，來自Nasdaq官方sector/industry)
科技(綜合),Semiconductors,美,4,NVDA,NVIDIA Corporation Common Stock,(底層分類，來自Nasdaq官方sector/industry)
IC設計,GPU/AI加速器,美,4,NVDA,NVIDIA Corporation Common Stock,全球AI晶片龍頭
科技(綜合),Computer Manufacturing,美,5,AAPL,Apple Inc. Common Stock,(底層分類，來自Nasdaq官方sector/industry)
科技(綜合),Computer Software: Prepackaged Software,美,6,MSFT,Microsoft Corporation Common Stock,(底層分類，來自Nasdaq官方sector/industry)
科技(綜合),Semiconductors,美,7,INTC,Intel Corporation Common Stock,(底層分類，來自Nasdaq官方sector/industry)
晶圓代工,x86 CPU+晶圓代工(IDM),美,7,INTC,Intel Corporation Common Stock,IDM半導體大廠
科技(綜合),Semiconductors,美,8,AMD,Advanced Micro Devices Inc. Common Stock,(底層分類，來自Nasdaq官方sector/industry)
IC設計,CPU/GPU,美,8,AMD,Advanced Micro Devices Inc. Common Stock,x86 CPU/GPU設計大廠
科技(綜合),Computer Software: Programming Data Processing,美,9,META,Meta Platforms Inc. Class A Common Stock,(底層分類，來自Nasdaq官方sector/industry)
消費(非必需),Catalog/Specialty Distribution,美,10,AMZN,Amazon.com Inc. Common Stock,(底層分類，來自Nasdaq官方sector/industry)
科技(綜合),Computer Software: Programming Data Processing,美,11,SPCX,Space Exploration Technologies Corp. Class A Common Stock,(底層分類，來自Nasdaq官方sector/industry)
科技(綜合),Semiconductors,美,12,AVGO,Broadcom Inc. Common Stock,(底層分類，來自Nasdaq官方sector/industry)
CPO/光通訊,網通交換晶片(CPO),美,12,AVGO,Broadcom Inc. Common Stock,Tomahawk系列CPO交換晶片
科技(綜合),Semiconductors,美,13,MRVL,Marvell Technology Inc. Common Stock,(底層分類，來自Nasdaq官方sector/industry)
CPO/光通訊,光學互連晶片(CPO/AEC),美,13,MRVL,Marvell Technology Inc. Common Stock,AI網路矽光子互連晶片核心供應商
科技(綜合),Computer Software: Programming Data Processing,美,14,GOOGL,Alphabet Inc. Class A Common Stock,(底層分類，來自Nasdaq官方sector/industry)
科技(綜合),Semiconductors,美,15,AMAT,Applied Materials Inc. Common Stock,(底層分類，來自Nasdaq官方sector/industry)
