日期,時段,代碼,公司,成交金額排名,主族群,市值,EPS預估
2026-07-23,盤後,INTC,Intel Corporation,8,"晶圓代工, 科技(綜合)","$529,991,700,000",$0.10
2026-07-23,盤前,AAL,"American Airlines Group, Inc.",48,"傳統產業, 消費(非必需)","$10,105,964,893",$0.03
2026-07-23,盤後,FIX,"Comfort Systems USA, Inc.",59,"AI伺服器, 工業","$62,431,850,988",$10.38
2026-07-23,盤前,FCX,"Freeport-McMoran, Inc.",100,"傳統產業, 傳統產業/原材料","$89,933,745,154",$0.62
2026-07-23,盤前,NOK,Nokia Corporation,102,"科技(綜合), 網通設備","$61,040,007,968",$0.07
2026-07-23,盤前,UNP,Union Pacific Corporation,108,"傳統產業, 工業","$174,035,154,127",$3.20
2026-07-23,盤前,STM,STMicroelectronics N.V.,122,"功率半導體, 科技(綜合)","$58,152,100,185",$0.26
2026-07-23,盤前,CMCSA,Comcast Corporation,125,電信,"$85,092,689,201",$0.97
2026-07-23,盤後,NEM,Newmont Corporation,126,"傳統產業, 傳統產業/原材料","$98,737,955,142",$2.05
2026-07-23,盤前,HON,Honeywell International Inc.,138,"工業, 軍工/國防","$72,825,753,082",$1.80
2026-07-23,盤前,TMUS,"T-Mobile US, Inc.",139,電信,"$206,452,193,862",$2.49
2026-07-23,盤前,RTX,RTX Corporation,155,"工業, 軍工/國防","$260,812,179,501",$1.66
2026-07-23,盤前,TMO,Thermo Fisher Scientific Inc,166,"工業, 生技醫藥","$194,528,972,069",$5.71
2026-07-23,盤前,LMT,Lockheed Martin Corporation,205,"工業, 軍工/國防","$116,916,499,981",$7.22
2026-07-23,盤前,BX,Blackstone Inc.,220,金融,"$92,228,528,039",$1.33
2026-07-23,盤後,SAP,SAP SE,274,科技(綜合),"$189,607,343,167",$2
2026-07-23,盤後,DLR,"Digital Realty Trust, Inc.",307,不動產,"$67,541,595,505",$1.98
2026-07-23,盤後,EW,Edwards Lifesciences Corporation,308,生技醫藥,"$48,683,890,000",$0.73
2026-07-23,盤前,NSC,Norfolk Southern Corporation,341,工業,"$74,407,992,531",$3.23
2026-07-23,盤前,HBAN,Huntington Bancshares Incorporated,357,金融,"$36,832,962,766",$0.39
2026-07-23,盤前,ROP,"Roper Technologies, Inc.",377,科技(綜合),"$35,390,708,628",$5.29
2026-07-23,盤前,AMP,"AMERIPRISE FINANCIAL SERVICES, LLC",379,金融,"$47,498,922,273",$10.72
2026-07-23,盤後,MXL,"MaxLinear, Inc",380,"IC設計, 科技(綜合)","$7,706,325,232",$0.13
