code,name,sector,industry,price,volume,amount_usd,rank
MU,Micron Technology Inc. Common Stock,Technology,Semiconductors,1132.33,86114635.0,97510184649.54999,1
AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing,283.78,261692887.0,74263207472.85999,2
MSFT,Microsoft Corporation Common Stock,Technology,Computer Software: Prepackaged Software,372.97,186111730.0,69414091938.1,3
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,232.69,248288780.0,57774316218.2,4
GOOGL,Alphabet Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,337.39,114641894.0,38679028616.659996,5
SNDK,Sandisk Corporation Common Stock,Technology,Electronic Components,2090.71,16803251.0,35130724898.21,6
NVDA,NVIDIA Corporation Common Stock,Technology,Semiconductors,192.53,178903598.0,34444309722.94,7
GOOG,Alphabet Inc. Class C Capital Stock,Technology,Computer Software: Programming Data Processing,334.69,82450349.0,27595307306.81,8
AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors,521.58,52661642.0,27467259234.36,9
TSLA,Tesla Inc. Common Stock,Industrials,Auto Manufacturing,379.71,53356745.0,20260089643.95,10
SPCX,Space Exploration Technologies Corp. Class A Common Stock,Technology,Computer Software: Programming Data Processing,153.23,126896881.0,19444409075.629997,11
AMAT,Applied Materials Inc. Common Stock,Technology,Semiconductors,626.84,28127469.0,17631422667.96,12
BE,Bloom Energy Corporation Class A Common Stock,Energy,Industrial Machinery/Components,252.02,57100836.0,14390552688.720001,13
CAT,Caterpillar Inc. Common Stock,Industrials,Construction/Ag Equipment/Trucks,997.47,13903968.0,13868790960.960001,14
WDC,Western Digital Corporation Common Stock,Technology,Electronic Components,586.45,23368604.0,13704517815.800001,15
ABBV,AbbVie Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,253.35,52626588.0,13332946069.8,16
INTC,Intel Corporation Common Stock,Technology,Semiconductors,128.32,99245264.0,12735152276.48,17
AVGO,Broadcom Inc. Common Stock,Technology,Semiconductors,365.02,34771010.0,12692114070.199999,18
MRVL,Marvell Technology Inc. Common Stock,Technology,Semiconductors,266.77,41916350.0,11182024689.5,19
META,Meta Platforms Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing,550.25,18845438.0,10369702259.5,20
GLW,Corning Incorporated Common Stock,Industrials,Telecommunications Equipment,221.05,45374400.0,10030011120.0,21
LLY,Eli Lilly and Company Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,1208.12,7721158.0,9328085402.96,22
CRDO,Credo Technology Group Holding Ltd Ordinary Shares,Technology,Semiconductors,238.0,38599746.0,9186739548.0,23
